Purpose,TAZID,All,Walk,Bike,NonM
All,64.0,2073.81,262.82,28.08,410.19
HBW,64.0,308.98,23.76,5.83,29.59
HBO,64.0,1191.42,202.07,19.24,221.31
NHB,64.0,427.83,35.79,2.65,38.44
HBC,64.0,0.0,0.0,0.0,0.0
HBSch,64.0,145.57,1.2,0.36,120.85
All,65.0,2201.91,317.78,33.24,476.36
HBW,65.0,387.83,38.41,7.77,46.18
HBO,65.0,1355.43,248.89,23.08,271.97
NHB,65.0,306.5,29.21,2.01,31.22
HBC,65.0,0.0,0.0,0.0,0.0
HBSch,65.0,152.16,1.27,0.38,126.98
All,66.0,1139.75,143.39,16.6,189.96
HBW,66.0,179.76,14.42,3.86,18.28
HBO,66.0,550.18,98.7,10.36,109.06
NHB,66.0,370.23,29.96,2.29,32.25
HBC,66.0,1.0,0.0,0.0,0.0
HBSch,66.0,38.58,0.3,0.09,30.36
All,67.0,1300.69,174.4,18.64,245.88
HBW,67.0,188.04,17.9,3.99,21.89
HBO,67.0,675.81,121.45,12.09,133.54
NHB,67.0,368.2,34.51,2.4,36.91
HBC,67.0,0.0,0.0,0.0,0.0
HBSch,67.0,68.64,0.53,0.16,53.54
All,68.0,1112.54,137.27,18.16,203.51
HBW,68.0,219.3,12.12,4.47,16.59
HBO,68.0,713.26,115.76,12.77,128.54
NHB,68.0,121.66,8.9,0.77,9.67
HBC,68.0,0.0,0.0,0.0,0.0
HBSch,68.0,58.31,0.49,0.15,48.72
All,69.0,277.13,32.66,3.75,53.07
HBW,69.0,39.01,2.19,0.68,2.87
HBO,69.0,185.65,28.46,2.87,31.32
NHB,69.0,22.78,1.85,0.15,2.0
HBC,69.0,1.0,0.0,0.0,0.0
HBSch,69.0,28.69,0.17,0.05,16.88
All,70.0,946.2,93.44,14.11,184.59
HBW,70.0,141.85,5.39,2.65,8.05
HBO,70.0,650.49,83.98,10.85,94.83
NHB,70.0,57.29,3.29,0.37,3.66
HBC,70.0,0.0,0.0,0.0,0.0
HBSch,70.0,96.58,0.78,0.23,78.05
All,71.0,0.0,0.0,0.0,0.0
HBW,71.0,0.0,0.0,0.0,0.0
HBO,71.0,0.0,0.0,0.0,0.0
NHB,71.0,0.0,0.0,0.0,0.0
HBC,71.0,0.0,0.0,0.0,0.0
HBSch,71.0,0.0,0.0,0.0,0.0
All,72.0,874.89,89.12,12.79,143.68
HBW,72.0,124.82,6.77,2.43,9.2
HBO,72.0,578.18,77.13,9.71,86.84
NHB,72.0,80.18,4.8,0.51,5.31
HBC,72.0,0.0,0.0,0.0,0.0
HBSch,72.0,91.71,0.42,0.14,42.33
All,73.0,35.45,1.78,0.43,4.67
HBW,73.0,6.41,0.06,0.07,0.12
HBO,73.0,23.76,1.64,0.34,1.98
NHB,73.0,2.17,0.05,0.02,0.07
HBC,73.0,0.0,0.0,0.0,0.0
HBSch,73.0,3.1,0.02,0.01,2.5
All,74.0,0.0,0.0,0.0,0.0
