Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn
NHB,Pk,P,     12.00,      3.33,      3.29,      0.01,      3.29,      0.04,      0.02,      0.00
NHB,Pk,A,     12.00,      3.40,      3.36,      0.01,      3.36,      0.04,      0.02,         0
HBC,Pk,P,     12.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     12.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     12.00,      3.97,      3.39,      0.00,      3.39,      0.58,      0.01,         0
HBSch,Pk,A,     12.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,P,     13.00,         0,         0,         0,         0,         0,         0,         0
HBSch,Pk,A,     13.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
All,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBW,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBO,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
NHB,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,P,     14.00,         0,         0,         0,         0,         0,         0,         0
HBC,Pk,A,     14.00,         0,         0,         0,         0,         0,         0,         0
