Purpose,Period,PA,TAZID,All,Auto,Bike,Moto,NonM,Walk,tTrn,scenario_id
HBSch,Pk,P,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,A,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBW,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBW,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBO,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBO,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
NHB,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
NHB,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,A,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,15,25.55,25.29,0.07,25.3,0.24,0.14,0.02,Shorten00
All,Pk,A,15,351.45,349.04,1.97,349.04,2.41,0.45,0.0,Shorten00
HBW,Pk,P,15,0.83,0.81,0.01,0.81,0.02,0.01,0.0,Shorten00
HBW,Pk,A,15,252.43,250.95,1.39,250.95,1.48,0.09,0.0,Shorten00
HBO,Pk,P,15,2.09,2.02,0.01,2.03,0.06,0.05,0.01,Shorten00
HBO,Pk,A,15,78.06,77.27,0.52,77.27,0.79,0.28,0.0,Shorten00
NHB,Pk,P,15,22.41,22.27,0.05,22.28,0.13,0.08,0.01,Shorten00
NHB,Pk,A,15,20.96,20.82,0.06,20.82,0.14,0.08,0.0,Shorten00
HBC,Pk,P,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,15,0.21,0.18,0.0,0.18,0.03,0.0,0.0,Shorten00
HBSch,Pk,A,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,16,8.71,8.44,0.06,8.44,0.27,0.18,0.0,Shorten00
All,Pk,A,16,135.53,132.09,1.31,132.09,3.44,2.13,0.0,Shorten00
HBW,Pk,P,16,0.85,0.81,0.01,0.81,0.04,0.02,0.0,Shorten00
HBW,Pk,A,16,76.28,75.21,0.76,75.21,1.07,0.31,0.0,Shorten00
HBO,Pk,P,16,2.0,1.91,0.02,1.91,0.1,0.08,0.0,Shorten00
HBO,Pk,A,16,53.77,51.52,0.52,51.52,2.25,1.74,0.0,Shorten00
NHB,Pk,P,16,5.62,5.51,0.03,5.51,0.11,0.08,0.0,Shorten00
NHB,Pk,A,16,5.48,5.36,0.03,5.36,0.12,0.09,0.0,Shorten00
HBC,Pk,P,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBC,Pk,A,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
HBSch,Pk,P,16,0.23,0.2,0.0,0.2,0.03,0.0,0.0,Shorten00
HBSch,Pk,A,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Shorten00
All,Pk,P,17,10.65,10.26,0.09,10.26,0.39,0.18,0.0,Shorten00
