Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,SF11,pk,7.8,30.12,15.54,60.0,1.0,46.8,49.53,49.55,0.0,49.53,0.0,49.55,Closer04
4.0,SF202,pk,10.44,37.38,16.76,30.0,2.0,125.28,40.14,40.09,0.83,39.31,0.81,39.28,Closer04
4.0,SF232,pk,15.34,50.74,18.14,30.0,2.0,184.08,46.37,46.28,0.78,45.59,0.76,45.52,Closer04
4.0,SF453,pk,39.47,75.68,31.29,30.0,2.0,473.64,20.85,20.83,4.79,16.06,4.79,16.04,Closer04
4.0,SF514,pk,12.18,44.22,16.53,30.0,2.0,146.16,78.93,78.92,15.02,63.91,15.03,63.89,Closer04
4.0,SF525,pk,8.9,31.3,17.06,30.0,2.0,106.8,37.87,37.89,8.42,29.45,8.43,29.46,Closer04
4.0,SF570,pk,14.72,43.52,20.29,30.0,2.0,176.64,75.88,75.87,0.31,75.57,0.31,75.56,Closer04
4.0,SF578,pk,13.44,40.42,19.95,30.0,2.0,161.28,33.85,33.77,0.13,33.72,0.12,33.65,Closer04
4.0,SF590,pk,11.44,39.39,17.43,30.0,2.0,137.28,61.83,61.85,4.68,57.15,4.71,57.14,Closer04
4.0,SF94,pk,7.22,21.94,19.74,30.0,2.0,86.64,52.43,52.45,4.65,47.78,4.65,47.8,Closer04
4.0,M805_Santaquin,pk,61.64,110.05,33.61,40.0,1.5,554.76,453.16,453.19,234.57,218.59,234.58,218.61,Closer04
4.0,M806_EglMtn,pk,27.94,67.73,24.75,45.0,1.33,223.52,307.71,307.67,105.84,201.87,105.82,201.85,Closer04
4.0,M807_NoCnty,pk,22.21,65.02,20.5,40.0,1.5,199.89,575.89,575.92,212.44,363.45,212.47,363.45,Closer04
4.0,M822_Psn,pk,54.34,148.09,22.02,60.0,1.0,326.04,447.47,447.39,111.61,335.86,111.59,335.8,Closer04
4.0,MF809,pk,21.39,64.92,19.77,30.0,2.0,256.68,54.48,54.46,7.1,47.38,7.09,47.37,Closer04
4.0,O606,pk,4.96,13.82,21.53,360.0,0.17,4.96,0.01,0.01,0.0,0.01,0.0,0.01,Closer04
4.0,S513,pk,32.36,110.76,17.53,30.0,2.0,388.32,202.36,202.37,27.18,175.18,27.15,175.22,Closer04
4.0,S551,pk,15.23,44.32,20.62,30.0,2.0,182.76,27.08,27.1,6.39,20.69,6.38,20.72,Closer04
4.0,M821_5YR2023,ok,37.33,95.77,23.39,30.0,2.0,746.6,173.73,173.8,19.49,154.24,19.46,154.34,Closer04
4.0,M823_5RY2023,ok,19.12,60.44,18.98,30.0,2.0,382.4,181.76,181.79,10.77,170.99,10.79,171.0,Closer04
4.0,M831_WPr,ok,23.68,84.57,16.8,30.0,2.0,473.6,311.22,311.18,10.47,300.75,10.43,300.75,Closer04
4.0,M833_CntPr,ok,9.75,30.24,19.35,60.0,1.0,97.5,39.04,39.08,1.36,37.68,1.38,37.7,Closer04
4.0,M834_EstPr,ok,25.64,84.76,18.15,30.0,2.0,512.8,224.15,224.1,7.82,216.33,7.82,216.28,Closer04
4.0,M841_UVU,ok,5.32,20.63,15.47,30.0,2.0,106.4,31.12,31.1,0.92,30.2,0.91,30.19,Closer04
4.0,M850_StateStree,ok,45.58,161.87,16.9,15.0,4.0,1823.2,1240.01,1240.01,90.4,1149.61,90.34,1149.67,Closer04
4.0,M862_Orem,ok,28.28,100.6,16.87,30.0,2.0,565.6,177.04,177.06,9.06,167.98,9.07,167.99,Closer04
4.0,M864_Thanksgivi,ok,7.25,26.25,16.57,30.0,2.0,145.0,50.31,50.31,3.84,46.47,3.83,46.48,Closer04
4.0,M871_SLtoUtahCn,ok,26.46,80.12,19.82,60.0,1.0,264.6,27.14,27.13,1.91,25.23,1.89,25.24,Closer04
4.0,O600,ok,46.04,159.75,17.29,15.0,4.0,1841.6,671.24,671.23,40.95,630.29,40.92,630.31,Closer04
4.0,O601,ok,3.7,17.95,12.37,20.0,3.0,111.0,12.76,12.75,0.29,12.47,0.28,12.47,Closer04
