HomeCityIdx,WorkCityIdx,Job_Auto,Job_TranWalk,Job_TranDrive,Job_Bike,Job_Walk,HH_Auto,HH_TranWalk,HH_TranDrive,HH_Bike,HH_Walk,JobTimeWt_Auto,JobTimeWt_TranWalk,JobTimeWt_TranDrive,JobTimeWt_Bike,JobTimeWt_Walk,HHTimeWt_Auto,HHTimeWt_TranWalk,HHTimeWt_TranDrive,HHTimeWt_Bike,HHTimeWt_Walk,JobAutoFF,JobAutoSL,HHAutoFF,HHAutoSL,Retail_Auto,Retail_TranWalk,Retail_TranDrive,Retail_Bike,Retail_Walk,Industrial_Auto,Industrial_TranWalk,Industrial_TranDrive,Industrial_Bike,Industrial_Walk,Other_Auto,Other_TranWalk,Other_TranDrive,Other_Bike,Other_Walk,RetailTimeWt_Auto,RetailTimeWt_TranWalk,RetailTimeWt_TranDrive,RetailTimeWt_Bike,RetailTimeWt_Walk,IndustrialTimeWt_Auto,IndustrialTimeWt_TranWalk,IndustrialTimeWt_TranDrive,IndustrialTimeWt_Bike,IndustrialTimeWt_Walk,OtherTimeWt_Auto,OtherTimeWt_TranWalk,OtherTimeWt_TranDrive,OtherTimeWt_Bike,OtherTimeWt_Walk,RetailAutoFF,RetailAutoSL,IndustrialAutoFF,IndustrialAutoSL,OtherAutoFF,OtherAutoSL
      1.00,     26.00, 494221.00,         0,         0,         0,         0,28570998.0,         0,     93.00,         0,         0,12549422.0,         0,         0,         0,         0, 733567013,         0,   5592.00,         0,         0, 535180.00, 763478.00,31310053.0,47247283.0, 167883.00,         0,         0,         0,         0,  37425.00,         0,         0,         0,         0, 288913.00,         0,         0,         0,         0,4220918.00,         0,         0,         0,         0, 957718.00,         0,         0,         0,         0,7370786.00,         0,         0,         0,         0, 181641.00, 256151.00,  40541.00,  58282.00, 312997.00, 449046.00
      1.00,     27.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     28.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     29.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 384785.00,         0,14540225.0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  58872.00,         0,  32477.00,         0, 293435.00
      1.00,     30.00, 132738.00,         0,         0,         0,         0,45803058.0,         0,         0,1235692.00,         0,2814628.00,         0,         0,         0,         0, 978776252,         0,         0,32639641.0,         0, 142358.00, 185210.00,49432766.0,64243628.0,  14575.00,         0,         0,         0,         0,  19488.00,         0,         0,         0,         0,  98675.00,         0,         0,         0,         0, 317723.00,         0,         0,         0,         0, 427445.00,         0,         0,         0,         0,2069461.00,         0,         0,         0,         0,  15674.00,  20330.00,  20959.00,  27465.00, 105725.00, 137415.00
      1.00,     31.00,4106732.00,  69536.00,     18.00,  23362.00,         0, 186439301,12082356.0, 115311.00,2490925.00,         0,75909001.0,3376795.00,   1003.00, 660718.00,         0,3383945944, 595391173,6352161.00,69769036.0,         0,4506371.00,5549308.00, 200355745, 227389910, 624716.00,  12368.00,      5.00,   4728.00,         0, 440175.00,   3833.00,      7.00,   3209.00,         0,3041842.00,  53335.00,      7.00,  15425.00,         0,11153105.0, 585147.00,    251.00, 132545.00,         0,8054561.00, 188481.00,    376.00,  91259.00,         0,56701335.0,2603167.00,    376.00, 436914.00,         0, 680086.00, 832669.00, 484065.00, 598293.00,3342220.00,4118346.00
      1.00,     32.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 111022.00,         0,7245973.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,  16565.00,         0,  16667.00,         0,  77790.00
      1.00,     33.00,13586398.0, 925850.00, 176533.00,9162739.00,    203.00, 675800561,90565885.0,3292960.00, 331017383,  43689.00, 211245786,42089662.0,6207710.00, 148761805,   4041.00,9050133977,3438840659, 115217721,5223598005, 871523.00,14251289.0,16776047.0, 693599729, 759617412,3421450.00, 283194.00,   9416.00,2427031.00,     24.00,1690663.00,  55226.00,  15689.00,1109631.00,     22.00,8474285.00, 587430.00, 151427.00,5626078.00,    156.00,52049222.0,13000430.0, 327467.00,39678460.0,    486.00,26363235.0,2566367.00, 547498.00,19782555.0,    444.00, 132833329,26522866.0,5332745.00,89300791.0,   3111.00,3581676.00,4156365.00,1774965.00,2088115.00,8894648.00,10531567.0
      1.00,     34.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
      1.00,     35.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
