Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings,scenario_id
4.0,S039,ok,22.92,79.53,17.29,15.0,4.0,916.8,692.38,692.28,20.66,671.72,20.6,671.68,ShiftP10
4.0,S045,ok,16.22,53.68,18.13,15.0,4.0,648.8,329.98,329.99,21.14,308.84,21.19,308.8,ShiftP10
4.0,S047,ok,25.68,85.13,18.1,30.0,2.0,513.6,185.09,184.97,1.97,183.12,1.91,183.06,ShiftP10
4.0,S054,ok,17.78,57.2,18.65,15.0,4.0,711.2,298.64,298.53,17.31,281.33,17.27,281.26,ShiftP10
4.0,S062,ok,20.26,64.19,18.94,60.0,1.0,202.6,57.08,57.09,1.61,55.47,1.64,55.45,ShiftP10
4.0,S072,ok,11.06,42.16,15.74,30.0,2.0,221.2,165.62,165.55,8.49,157.13,8.49,157.06,ShiftP10
4.0,S1,ok,21.44,89.1,14.44,15.0,4.0,857.6,1449.1,1449.01,4.16,1444.94,4.09,1444.92,ShiftP10
4.0,S200,ok,22.56,93.54,14.47,15.0,4.0,902.4,1742.25,1742.19,22.15,1720.1,22.12,1720.07,ShiftP10
4.0,S201,ok,19.42,70.92,16.43,60.0,1.0,194.2,57.93,57.89,6.12,51.81,6.08,51.81,ShiftP10
4.0,S205,ok,28.62,108.68,15.8,15.0,4.0,1144.8,2167.64,2167.6,17.72,2149.92,17.7,2149.9,ShiftP10
4.0,S209,ok,28.98,105.13,16.54,15.0,4.0,1159.2,2028.35,2028.3,40.65,1987.7,40.59,1987.71,ShiftP10
4.0,S213,ok,31.02,114.95,16.19,30.0,2.0,620.4,574.14,574.14,6.95,567.19,6.93,567.21,ShiftP10
4.0,S217,ok,24.42,81.41,18.0,15.0,4.0,976.8,518.28,518.28,22.92,495.36,22.91,495.37,ShiftP10
4.0,S218,ok,13.84,51.58,16.1,30.0,2.0,276.8,95.45,95.39,7.25,88.2,7.24,88.15,ShiftP10
4.0,S220,ok,33.42,118.02,16.99,30.0,2.0,668.4,886.18,886.23,65.06,821.12,65.07,821.16,ShiftP10
4.0,S223,ok,33.17,117.68,16.91,30.0,2.0,663.4,670.08,670.07,27.64,642.44,27.65,642.42,ShiftP10
4.0,S227,ok,33.9,119.34,17.04,30.0,2.0,678.0,215.89,215.87,9.08,206.81,9.04,206.83,ShiftP10
4.0,S236,ok,15.93,45.15,21.17,30.0,2.0,318.6,71.97,72.01,6.09,65.88,6.07,65.94,ShiftP10
4.0,S240,ok,24.3,85.81,16.99,15.0,4.0,972.0,247.1,247.07,8.98,238.12,9.01,238.06,ShiftP10
4.0,S248,ok,45.08,154.94,17.46,30.0,2.0,901.6,254.69,254.69,12.54,242.15,12.53,242.16,ShiftP10
4.0,S31,ok,26.5,98.53,16.14,30.0,2.0,530.0,255.47,255.48,7.91,247.56,7.89,247.59,ShiftP10
4.0,S455,ok,46.84,158.47,17.73,30.0,2.0,936.8,933.56,933.63,79.96,853.6,79.97,853.66,ShiftP10
4.0,S470,ok,39.74,134.55,17.72,30.0,2.0,794.8,781.7,781.67,37.32,744.38,37.38,744.29,ShiftP10
4.0,S509,ok,10.34,39.31,15.78,30.0,2.0,206.8,157.0,157.02,11.2,145.8,11.16,145.86,ShiftP10
4.0,SF11,ok,7.8,28.63,16.35,60.0,1.0,78.0,39.66,39.65,0.0,39.66,0.0,39.65,ShiftP10
4.0,SF202,ok,10.44,39.22,15.97,30.0,2.0,208.8,57.81,57.79,1.65,56.16,1.63,56.16,ShiftP10
4.0,SF232,ok,15.34,50.79,18.12,30.0,2.0,306.8,70.54,70.57,1.65,68.89,1.66,68.91,ShiftP10
4.0,SF453,ok,39.47,91.29,25.94,60.0,1.0,394.7,5.7,5.73,2.94,2.76,2.96,2.77,ShiftP10
4.0,SF514,ok,12.18,48.13,15.18,30.0,2.0,243.6,103.16,103.17,18.03,85.13,18.03,85.14,ShiftP10
4.0,SF525,ok,8.9,32.8,16.28,30.0,2.0,178.0,59.8,59.84,10.02,49.78,10.03,49.81,ShiftP10
4.0,SF570,ok,14.72,46.97,18.8,30.0,2.0,294.4,77.17,77.17,0.5,76.67,0.46,76.71,ShiftP10
4.0,SF578,ok,13.44,43.76,18.43,30.0,2.0,268.8,31.54,31.57,0.22,31.32,0.23,31.34,ShiftP10
4.0,SF590,ok,11.44,42.49,16.15,30.0,2.0,228.8,64.35,64.35,4.23,60.12,4.24,60.11,ShiftP10
4.0,SF94,ok,7.22,24.12,17.96,30.0,2.0,144.4,51.76,51.76,2.84,48.92,2.84,48.92,ShiftP10
5.0,BRT56_R,pk,52.52,155.1,20.32,15.0,4.0,1260.48,3293.57,3293.61,1033.65,2259.92,1033.68,2259.93,ShiftP10
5.0,MidValCon,pk,13.36,38.41,20.87,15.0,4.0,320.64,1038.36,1038.39,201.16,837.2,201.17,837.22,ShiftP10
5.0,BRT56_R,ok,52.52,163.52,19.27,15.0,4.0,2100.8,3137.6,3137.72,619.52,2518.08,619.58,2518.14,ShiftP10
5.0,MidValCon,ok,13.36,40.65,19.72,15.0,4.0,534.4,555.47,555.51,29.1,526.37,29.09,526.42,ShiftP10
6.0,S451X,pk,21.64,38.2,33.99,30.0,2.0,259.68,0.71,0.72,0.0,0.71,0.0,0.72,ShiftP10
6.0,S472X,pk,34.39,66.87,30.86,30.0,2.0,412.68,75.05,75.04,0.0,75.05,0.0,75.04,ShiftP10
6.0,S473X,pk,42.74,109.25,23.47,30.0,2.0,512.88,660.55,660.53,387.78,272.77,387.76,272.77,ShiftP10
7.0,Blue,pk,38.08,103.36,22.11,15.0,4.0,913.92,5564.81,5564.77,1198.28,4366.53,1198.25,4366.52,ShiftP10
7.0,Green,pk,28.64,93.54,18.37,15.0,4.0,687.36,4755.8,4755.82,446.18,4309.62,446.18,4309.64,ShiftP10
7.0,Red,pk,47.22,120.72,23.47,15.0,4.0,1133.28,13581.44,13581.4,3626.32,9955.12,3626.32,9955.08,ShiftP10
7.0,Sline,pk,4.02,20.58,11.72,15.0,4.0,96.48,308.98,308.95,8.18,300.8,8.19,300.76,ShiftP10
7.0,Blue,ok,38.08,103.36,22.11,15.0,4.0,1523.2,6414.57,6414.56,1040.31,5374.26,1040.28,5374.28,ShiftP10
7.0,Green,ok,28.64,93.54,18.37,15.0,4.0,1145.6,6852.42,6852.39,518.99,6333.43,518.98,6333.41,ShiftP10
7.0,Red,ok,47.22,120.72,23.47,15.0,4.0,1888.8,9574.95,9574.96,1357.34,8217.61,1357.36,8217.6,ShiftP10
7.0,Sline,ok,4.02,20.58,11.72,15.0,4.0,160.8,447.66,447.7,7.13,440.53,7.13,440.57,ShiftP10
8.0,RCRT_OGPN,pk,162.16,245.34,39.66,30.0,2.0,1945.92,11341.39,11341.38,6809.2,4532.19,6809.18,4532.2,ShiftP10
8.0,RCRT_OGPN,ok,162.16,245.34,39.66,60.0,1.0,1621.6,5933.71,5933.77,2864.1,3069.61,2864.14,3069.63,ShiftP10
9.0,630X,pk,9.86,40.51,14.6,10.0,6.0,354.96,1368.18,1368.21,529.85,838.33,529.85,838.36,ShiftP10
9.0,M830X_ARPT,pk,11.28,27.28,24.81,30.0,2.0,135.36,17.14,17.16,3.42,13.72,3.42,13.74,ShiftP10
9.0,UVX,pk,22.92,79.21,17.36,6.0,10.0,1375.2,7372.19,7372.2,1147.68,6224.51,1147.67,6224.53,ShiftP10
9.0,630X,ok,9.86,43.11,13.72,10.0,6.0,591.6,707.23,707.28,37.08,670.15,37.1,670.18,ShiftP10
9.0,M830X_ARPT,ok,11.28,29.37,23.04,30.0,2.0,225.6,33.05,33.04,2.19,30.86,2.2,30.84,ShiftP10
9.0,UVX,ok,22.92,83.73,16.42,10.0,6.0,1375.2,3487.21,3487.22,112.07,3375.14,112.09,3375.13,ShiftP10
