TAZID,DISTMED,DMED_NAME
91,3,Brigham City - North Perry
92,3,Brigham City - North Perry
93,3,Brigham City - North Perry
94,3,Brigham City - North Perry
95,3,Brigham City - North Perry
96,3,Brigham City - North Perry
97,2,Brigham City Area - W of I-15
98,2,Brigham City Area - W of I-15
99,3,Brigham City - North Perry
100,3,Brigham City - North Perry
101,3,Brigham City - North Perry
102,3,Brigham City - North Perry
103,3,Brigham City - North Perry
104,3,Brigham City - North Perry
105,3,Brigham City - North Perry
106,3,Brigham City - North Perry
107,4,South Perry - Willard
108,4,South Perry - Willard
109,2,Brigham City Area - W of I-15
110,4,South Perry - Willard
111,4,South Perry - Willard
112,4,South Perry - Willard
113,4,South Perry - Willard
114,4,South Perry - Willard
115,4,South Perry - Willard
116,4,South Perry - Willard
117,4,South Perry - Willard
118,4,South Perry - Willard
119,2,Brigham City Area - W of I-15
120,4,South Perry - Willard
121,4,South Perry - Willard
122,4,South Perry - Willard
123,2,Brigham City Area - W of I-15
124,4,South Perry - Willard
125,4,South Perry - Willard
126,4,South Perry - Willard
127,4,South Perry - Willard
128,4,South Perry - Willard
129,4,South Perry - Willard
130,4,South Perry - Willard
131,4,South Perry - Willard
132,4,South Perry - Willard
133,4,South Perry - Willard
134,4,South Perry - Willard
135,4,South Perry - Willard
136,4,South Perry - Willard
137,4,South Perry - Willard
138,4,South Perry - Willard
139,4,South Perry - Willard
140,4,South Perry - Willard
141,4,South Perry - Willard
142,4,South Perry - Willard
143,4,South Perry - Willard
144,2,Brigham City Area - W of I-15
145,5,Mantua - East Mountains
146,5,Mantua - East Mountains
147,5,Mantua - East Mountains
148,5,Mantua - East Mountains
149,5,Mantua - East Mountains
150,5,Mantua - East Mountains
151,5,Mantua - East Mountains
152,6,Box Elder County - Southeast Mo
153,6,Box Elder County - Southeast Mo
154,7,Weber County - Great Salt Lake
155,9,Plain City - Farr West - Marrio
156,8,Ex-West Weber
157,9,Plain City - Farr West - Marrio
158,9,Plain City - Farr West - Marrio
159,8,Ex-West Weber
160,8,Ex-West Weber
161,9,Plain City - Farr West - Marrio
162,9,Plain City - Farr West - Marrio
163,9,Plain City - Farr West - Marrio
164,9,Plain City - Farr West - Marrio
165,8,Ex-West Weber
166,9,Plain City - Farr West - Marrio
167,9,Plain City - Farr West - Marrio
168,9,Plain City - Farr West - Marrio
169,9,Plain City - Farr West - Marrio
170,8,Ex-West Weber
171,8,Ex-West Weber
172,9,Plain City - Farr West - Marrio
173,9,Plain City - Farr West - Marrio
174,9,Plain City - Farr West - Marrio
175,9,Plain City - Farr West - Marrio
176,9,Plain City - Farr West - Marrio
177,8,Ex-West Weber
178,8,Ex-West Weber
179,8,Ex-West Weber
180,11,Hooper - Roy - West Haven
181,11,Hooper - Roy - West Haven
182,11,Hooper - Roy - West Haven
183,11,Hooper - Roy - West Haven
184,11,Hooper - Roy - West Haven
185,11,Hooper - Roy - West Haven
186,11,Hooper - Roy - West Haven
187,8,Ex-West Weber
188,8,Ex-West Weber
189,11,Hooper - Roy - West Haven
190,11,Hooper - Roy - West Haven
191,11,Hooper - Roy - West Haven
192,11,Hooper - Roy - West Haven
193,11,Hooper - Roy - West Haven
194,8,Ex-West Weber
195,11,Hooper - Roy - West Haven
196,11,Hooper - Roy - West Haven
197,11,Hooper - Roy - West Haven
198,11,Hooper - Roy - West Haven
199,9,Plain City - Farr West - Marrio
200,9,Plain City - Farr West - Marrio
201,9,Plain City - Farr West - Marrio
202,9,Plain City - Farr West - Marrio
203,9,Plain City - Farr West - Marrio
204,9,Plain City - Farr West - Marrio
205,9,Plain City - Farr West - Marrio
206,9,Plain City - Farr West - Marrio
207,9,Plain City - Farr West - Marrio
208,9,Plain City - Farr West - Marrio
209,9,Plain City - Farr West - Marrio
210,9,Plain City - Farr West - Marrio
211,9,Plain City - Farr West - Marrio
212,9,Plain City - Farr West - Marrio
213,9,Plain City - Farr West - Marrio
214,9,Plain City - Farr West - Marrio
215,9,Plain City - Farr West - Marrio
216,9,Plain City - Farr West - Marrio
217,9,Plain City - Farr West - Marrio
218,9,Plain City - Farr West - Marrio
219,9,Plain City - Farr West - Marrio
220,9,Plain City - Farr West - Marrio
221,9,Plain City - Farr West - Marrio
222,9,Plain City - Farr West - Marrio
223,9,Plain City - Farr West - Marrio
224,9,Plain City - Farr West - Marrio
225,9,Plain City - Farr West - Marrio
226,9,Plain City - Farr West - Marrio
227,9,Plain City - Farr West - Marrio
228,9,Plain City - Farr West - Marrio
229,9,Plain City - Farr West - Marrio
230,10,North Ogden
231,10,North Ogden
232,9,Plain City - Farr West - Marrio
233,9,Plain City - Farr West - Marrio
234,10,North Ogden
235,9,Plain City - Farr West - Marrio
236,10,North Ogden
237,10,North Ogden
238,9,Plain City - Farr West - Marrio
239,10,North Ogden
240,10,North Ogden
241,10,North Ogden
242,10,North Ogden
243,10,North Ogden
244,10,North Ogden
245,10,North Ogden
246,10,North Ogden
247,10,North Ogden
248,10,North Ogden
249,10,North Ogden
250,10,North Ogden
251,10,North Ogden
252,10,North Ogden
253,10,North Ogden
254,10,North Ogden
255,10,North Ogden
256,10,North Ogden
257,10,North Ogden
258,10,North Ogden
259,10,North Ogden
260,10,North Ogden
261,10,North Ogden
262,10,North Ogden
263,10,North Ogden
264,10,North Ogden
265,10,North Ogden
266,10,North Ogden
267,10,North Ogden
268,10,North Ogden
269,10,North Ogden
270,10,North Ogden
271,10,North Ogden
272,10,North Ogden
273,10,North Ogden
274,10,North Ogden
275,10,North Ogden
276,10,North Ogden
277,10,North Ogden
278,10,North Ogden
279,10,North Ogden
280,10,North Ogden
281,10,North Ogden
282,10,North Ogden
283,10,North Ogden
284,10,North Ogden
285,10,North Ogden
286,10,North Ogden
287,10,North Ogden
288,10,North Ogden
289,10,North Ogden
290,10,North Ogden
291,10,North Ogden
292,10,North Ogden
293,10,North Ogden
294,10,North Ogden
295,9,Plain City - Farr West - Marrio
296,9,Plain City - Farr West - Marrio
297,9,Plain City - Farr West - Marrio
298,9,Plain City - Farr West - Marrio
299,9,Plain City - Farr West - Marrio
300,10,North Ogden
301,10,North Ogden
302,9,Plain City - Farr West - Marrio
303,9,Plain City - Farr West - Marrio
304,10,North Ogden
305,9,Plain City - Farr West - Marrio
306,9,Plain City - Farr West - Marrio
307,9,Plain City - Farr West - Marrio
308,9,Plain City - Farr West - Marrio
309,10,North Ogden
310,9,Plain City - Farr West - Marrio
311,12,Ogden Core
312,10,North Ogden
313,10,North Ogden
314,10,North Ogden
315,10,North Ogden
316,10,North Ogden
317,10,North Ogden
318,10,North Ogden
319,10,North Ogden
320,10,North Ogden
321,10,North Ogden
322,10,North Ogden
323,10,North Ogden
324,10,North Ogden
325,10,North Ogden
326,10,North Ogden
327,10,North Ogden
328,10,North Ogden
329,10,North Ogden
330,10,North Ogden
331,10,North Ogden
332,10,North Ogden
333,10,North Ogden
334,10,North Ogden
335,10,North Ogden
336,10,North Ogden
337,10,North Ogden
338,10,North Ogden
339,12,Ogden Core
340,12,Ogden Core
341,12,Ogden Core
342,12,Ogden Core
343,12,Ogden Core
344,12,Ogden Core
345,12,Ogden Core
346,12,Ogden Core
347,12,Ogden Core
348,12,Ogden Core
349,10,North Ogden
350,12,Ogden Core
351,12,Ogden Core
352,12,Ogden Core
353,12,Ogden Core
354,12,Ogden Core
355,12,Ogden Core
356,12,Ogden Core
357,12,Ogden Core
358,12,Ogden Core
359,12,Ogden Core
360,12,Ogden Core
361,12,Ogden Core
362,12,Ogden Core
363,12,Ogden Core
364,11,Hooper - Roy - West Haven
365,12,Ogden Core
366,12,Ogden Core
367,12,Ogden Core
368,12,Ogden Core
369,12,Ogden Core
370,12,Ogden Core
371,12,Ogden Core
372,12,Ogden Core
373,12,Ogden Core
374,12,Ogden Core
375,12,Ogden Core
376,12,Ogden Core
377,12,Ogden Core
378,12,Ogden Core
379,12,Ogden Core
380,12,Ogden Core
381,12,Ogden Core
382,12,Ogden Core
383,11,Hooper - Roy - West Haven
384,11,Hooper - Roy - West Haven
385,11,Hooper - Roy - West Haven
386,11,Hooper - Roy - West Haven
387,12,Ogden Core
388,12,Ogden Core
389,12,Ogden Core
390,12,Ogden Core
391,12,Ogden Core
392,12,Ogden Core
393,12,Ogden Core
394,12,Ogden Core
395,12,Ogden Core
396,12,Ogden Core
397,12,Ogden Core
398,12,Ogden Core
399,12,Ogden Core
400,12,Ogden Core
401,12,Ogden Core
402,12,Ogden Core
403,12,Ogden Core
404,12,Ogden Core
405,11,Hooper - Roy - West Haven
406,11,Hooper - Roy - West Haven
407,11,Hooper - Roy - West Haven
408,11,Hooper - Roy - West Haven
409,12,Ogden Core
410,12,Ogden Core
411,12,Ogden Core
412,12,Ogden Core
413,12,Ogden Core
414,12,Ogden Core
415,12,Ogden Core
416,12,Ogden Core
417,12,Ogden Core
418,12,Ogden Core
419,12,Ogden Core
420,12,Ogden Core
421,12,Ogden Core
422,11,Hooper - Roy - West Haven
423,12,Ogden Core
424,12,Ogden Core
425,12,Ogden Core
426,12,Ogden Core
427,12,Ogden Core
428,12,Ogden Core
429,12,Ogden Core
430,12,Ogden Core
431,12,Ogden Core
432,12,Ogden Core
433,12,Ogden Core
434,12,Ogden Core
435,12,Ogden Core
436,13,S Ogden - Riverdale - Uintah
437,13,S Ogden - Riverdale - Uintah
438,13,S Ogden - Riverdale - Uintah
439,13,S Ogden - Riverdale - Uintah
440,13,S Ogden - Riverdale - Uintah
441,13,S Ogden - Riverdale - Uintah
442,13,S Ogden - Riverdale - Uintah
443,13,S Ogden - Riverdale - Uintah
444,13,S Ogden - Riverdale - Uintah
445,13,S Ogden - Riverdale - Uintah
446,13,S Ogden - Riverdale - Uintah
447,11,Hooper - Roy - West Haven
448,11,Hooper - Roy - West Haven
449,11,Hooper - Roy - West Haven
450,11,Hooper - Roy - West Haven
451,12,Ogden Core
452,11,Hooper - Roy - West Haven
453,11,Hooper - Roy - West Haven
454,11,Hooper - Roy - West Haven
455,12,Ogden Core
456,11,Hooper - Roy - West Haven
457,11,Hooper - Roy - West Haven
458,11,Hooper - Roy - West Haven
459,11,Hooper - Roy - West Haven
460,11,Hooper - Roy - West Haven
461,11,Hooper - Roy - West Haven
462,11,Hooper - Roy - West Haven
463,11,Hooper - Roy - West Haven
464,11,Hooper - Roy - West Haven
465,11,Hooper - Roy - West Haven
466,11,Hooper - Roy - West Haven
467,11,Hooper - Roy - West Haven
468,11,Hooper - Roy - West Haven
469,11,Hooper - Roy - West Haven
470,11,Hooper - Roy - West Haven
471,11,Hooper - Roy - West Haven
472,11,Hooper - Roy - West Haven
473,11,Hooper - Roy - West Haven
474,11,Hooper - Roy - West Haven
475,11,Hooper - Roy - West Haven
476,11,Hooper - Roy - West Haven
477,11,Hooper - Roy - West Haven
478,11,Hooper - Roy - West Haven
479,11,Hooper - Roy - West Haven
480,11,Hooper - Roy - West Haven
481,11,Hooper - Roy - West Haven
482,11,Hooper - Roy - West Haven
483,11,Hooper - Roy - West Haven
484,11,Hooper - Roy - West Haven
485,11,Hooper - Roy - West Haven
486,11,Hooper - Roy - West Haven
487,11,Hooper - Roy - West Haven
488,11,Hooper - Roy - West Haven
489,11,Hooper - Roy - West Haven
490,11,Hooper - Roy - West Haven
491,11,Hooper - Roy - West Haven
492,11,Hooper - Roy - West Haven
493,11,Hooper - Roy - West Haven
494,11,Hooper - Roy - West Haven
495,11,Hooper - Roy - West Haven
496,11,Hooper - Roy - West Haven
497,11,Hooper - Roy - West Haven
498,11,Hooper - Roy - West Haven
499,11,Hooper - Roy - West Haven
500,11,Hooper - Roy - West Haven
501,11,Hooper - Roy - West Haven
502,11,Hooper - Roy - West Haven
503,11,Hooper - Roy - West Haven
504,11,Hooper - Roy - West Haven
505,11,Hooper - Roy - West Haven
506,11,Hooper - Roy - West Haven
507,11,Hooper - Roy - West Haven
508,11,Hooper - Roy - West Haven
509,11,Hooper - Roy - West Haven
510,11,Hooper - Roy - West Haven
511,11,Hooper - Roy - West Haven
512,11,Hooper - Roy - West Haven
513,11,Hooper - Roy - West Haven
514,11,Hooper - Roy - West Haven
515,11,Hooper - Roy - West Haven
516,11,Hooper - Roy - West Haven
517,11,Hooper - Roy - West Haven
518,11,Hooper - Roy - West Haven
519,11,Hooper - Roy - West Haven
520,11,Hooper - Roy - West Haven
521,11,Hooper - Roy - West Haven
522,11,Hooper - Roy - West Haven
523,11,Hooper - Roy - West Haven
524,11,Hooper - Roy - West Haven
525,11,Hooper - Roy - West Haven
526,11,Hooper - Roy - West Haven
527,13,S Ogden - Riverdale - Uintah
528,13,S Ogden - Riverdale - Uintah
529,13,S Ogden - Riverdale - Uintah
530,13,S Ogden - Riverdale - Uintah
531,13,S Ogden - Riverdale - Uintah
532,12,Ogden Core
533,13,S Ogden - Riverdale - Uintah
534,13,S Ogden - Riverdale - Uintah
535,13,S Ogden - Riverdale - Uintah
536,13,S Ogden - Riverdale - Uintah
537,13,S Ogden - Riverdale - Uintah
538,13,S Ogden - Riverdale - Uintah
539,13,S Ogden - Riverdale - Uintah
540,13,S Ogden - Riverdale - Uintah
541,13,S Ogden - Riverdale - Uintah
542,13,S Ogden - Riverdale - Uintah
543,13,S Ogden - Riverdale - Uintah
544,13,S Ogden - Riverdale - Uintah
545,13,S Ogden - Riverdale - Uintah
546,13,S Ogden - Riverdale - Uintah
547,13,S Ogden - Riverdale - Uintah
548,13,S Ogden - Riverdale - Uintah
549,13,S Ogden - Riverdale - Uintah
550,13,S Ogden - Riverdale - Uintah
551,13,S Ogden - Riverdale - Uintah
552,13,S Ogden - Riverdale - Uintah
553,12,Ogden Core
554,12,Ogden Core
555,13,S Ogden - Riverdale - Uintah
556,13,S Ogden - Riverdale - Uintah
557,13,S Ogden - Riverdale - Uintah
558,13,S Ogden - Riverdale - Uintah
559,13,S Ogden - Riverdale - Uintah
560,13,S Ogden - Riverdale - Uintah
561,13,S Ogden - Riverdale - Uintah
562,13,S Ogden - Riverdale - Uintah
563,13,S Ogden - Riverdale - Uintah
564,13,S Ogden - Riverdale - Uintah
565,13,S Ogden - Riverdale - Uintah
566,13,S Ogden - Riverdale - Uintah
567,13,S Ogden - Riverdale - Uintah
568,13,S Ogden - Riverdale - Uintah
569,13,S Ogden - Riverdale - Uintah
570,13,S Ogden - Riverdale - Uintah
571,13,S Ogden - Riverdale - Uintah
572,13,S Ogden - Riverdale - Uintah
573,13,S Ogden - Riverdale - Uintah
574,13,S Ogden - Riverdale - Uintah
575,13,S Ogden - Riverdale - Uintah
576,13,S Ogden - Riverdale - Uintah
577,14,Ogden Canyon - Northeast Mounta
578,14,Ogden Canyon - Northeast Mounta
579,14,Ogden Canyon - Northeast Mounta
580,15,Weber County - Southeast Mounta
581,15,Weber County - Southeast Mounta
582,18,Clinton - West Point - Clearfie
583,18,Clinton - West Point - Clearfie
584,18,Clinton - West Point - Clearfie
585,18,Clinton - West Point - Clearfie
586,18,Clinton - West Point - Clearfie
587,18,Clinton - West Point - Clearfie
588,18,Clinton - West Point - Clearfie
589,18,Clinton - West Point - Clearfie
590,18,Clinton - West Point - Clearfie
591,18,Clinton - West Point - Clearfie
592,18,Clinton - West Point - Clearfie
593,18,Clinton - West Point - Clearfie
594,18,Clinton - West Point - Clearfie
595,18,Clinton - West Point - Clearfie
596,18,Clinton - West Point - Clearfie
597,18,Clinton - West Point - Clearfie
598,18,Clinton - West Point - Clearfie
599,18,Clinton - West Point - Clearfie
600,18,Clinton - West Point - Clearfie
601,18,Clinton - West Point - Clearfie
602,18,Clinton - West Point - Clearfie
603,18,Clinton - West Point - Clearfie
604,18,Clinton - West Point - Clearfie
605,18,Clinton - West Point - Clearfie
606,18,Clinton - West Point - Clearfie
607,18,Clinton - West Point - Clearfie
608,18,Clinton - West Point - Clearfie
609,18,Clinton - West Point - Clearfie
610,18,Clinton - West Point - Clearfie
611,18,Clinton - West Point - Clearfie
612,18,Clinton - West Point - Clearfie
613,18,Clinton - West Point - Clearfie
614,18,Clinton - West Point - Clearfie
615,18,Clinton - West Point - Clearfie
616,18,Clinton - West Point - Clearfie
617,18,Clinton - West Point - Clearfie
618,18,Clinton - West Point - Clearfie
619,18,Clinton - West Point - Clearfie
620,18,Clinton - West Point - Clearfie
621,18,Clinton - West Point - Clearfie
622,18,Clinton - West Point - Clearfie
623,19,HAFB Area
624,18,Clinton - West Point - Clearfie
625,18,Clinton - West Point - Clearfie
626,19,HAFB Area
627,18,Clinton - West Point - Clearfie
628,19,HAFB Area
629,19,HAFB Area
630,19,HAFB Area
631,19,HAFB Area
632,19,HAFB Area
633,19,HAFB Area
634,19,HAFB Area
635,19,HAFB Area
636,19,HAFB Area
637,19,HAFB Area
638,19,HAFB Area
639,19,HAFB Area
640,19,HAFB Area
641,19,HAFB Area
642,19,HAFB Area
643,18,Clinton - West Point - Clearfie
644,18,Clinton - West Point - Clearfie
645,18,Clinton - West Point - Clearfie
646,18,Clinton - West Point - Clearfie
647,19,HAFB Area
648,18,Clinton - West Point - Clearfie
649,18,Clinton - West Point - Clearfie
650,18,Clinton - West Point - Clearfie
651,18,Clinton - West Point - Clearfie
652,18,Clinton - West Point - Clearfie
653,18,Clinton - West Point - Clearfie
654,18,Clinton - West Point - Clearfie
655,19,HAFB Area
656,18,Clinton - West Point - Clearfie
657,18,Clinton - West Point - Clearfie
658,18,Clinton - West Point - Clearfie
659,18,Clinton - West Point - Clearfie
660,18,Clinton - West Point - Clearfie
661,21,Layton - Fruit Heights
662,21,Layton - Fruit Heights
663,18,Clinton - West Point - Clearfie
664,18,Clinton - West Point - Clearfie
665,20,Kaysville - Syracuse
666,20,Kaysville - Syracuse
667,18,Clinton - West Point - Clearfie
668,18,Clinton - West Point - Clearfie
669,18,Clinton - West Point - Clearfie
670,18,Clinton - West Point - Clearfie
671,18,Clinton - West Point - Clearfie
672,18,Clinton - West Point - Clearfie
673,18,Clinton - West Point - Clearfie
674,18,Clinton - West Point - Clearfie
675,18,Clinton - West Point - Clearfie
676,20,Kaysville - Syracuse
677,20,Kaysville - Syracuse
678,20,Kaysville - Syracuse
679,20,Kaysville - Syracuse
680,20,Kaysville - Syracuse
681,20,Kaysville - Syracuse
682,20,Kaysville - Syracuse
683,20,Kaysville - Syracuse
684,20,Kaysville - Syracuse
685,20,Kaysville - Syracuse
686,20,Kaysville - Syracuse
687,20,Kaysville - Syracuse
688,20,Kaysville - Syracuse
689,20,Kaysville - Syracuse
690,19,HAFB Area
691,19,HAFB Area
692,19,HAFB Area
693,21,Layton - Fruit Heights
694,21,Layton - Fruit Heights
695,21,Layton - Fruit Heights
696,21,Layton - Fruit Heights
697,21,Layton - Fruit Heights
698,21,Layton - Fruit Heights
699,21,Layton - Fruit Heights
700,21,Layton - Fruit Heights
701,21,Layton - Fruit Heights
702,20,Kaysville - Syracuse
703,20,Kaysville - Syracuse
704,21,Layton - Fruit Heights
705,21,Layton - Fruit Heights
706,21,Layton - Fruit Heights
707,21,Layton - Fruit Heights
708,20,Kaysville - Syracuse
709,20,Kaysville - Syracuse
710,20,Kaysville - Syracuse
711,21,Layton - Fruit Heights
712,21,Layton - Fruit Heights
713,21,Layton - Fruit Heights
714,21,Layton - Fruit Heights
715,21,Layton - Fruit Heights
716,20,Kaysville - Syracuse
717,20,Kaysville - Syracuse
718,20,Kaysville - Syracuse
719,20,Kaysville - Syracuse
720,20,Kaysville - Syracuse
721,21,Layton - Fruit Heights
722,21,Layton - Fruit Heights
723,21,Layton - Fruit Heights
724,21,Layton - Fruit Heights
725,20,Kaysville - Syracuse
726,20,Kaysville - Syracuse
727,20,Kaysville - Syracuse
728,20,Kaysville - Syracuse
729,20,Kaysville - Syracuse
730,21,Layton - Fruit Heights
731,20,Kaysville - Syracuse
732,20,Kaysville - Syracuse
733,20,Kaysville - Syracuse
734,20,Kaysville - Syracuse
735,20,Kaysville - Syracuse
736,20,Kaysville - Syracuse
737,20,Kaysville - Syracuse
738,21,Layton - Fruit Heights
739,21,Layton - Fruit Heights
740,20,Kaysville - Syracuse
741,20,Kaysville - Syracuse
742,20,Kaysville - Syracuse
743,20,Kaysville - Syracuse
744,21,Layton - Fruit Heights
745,21,Layton - Fruit Heights
746,20,Kaysville - Syracuse
747,21,Layton - Fruit Heights
748,21,Layton - Fruit Heights
749,20,Kaysville - Syracuse
750,20,Kaysville - Syracuse
751,20,Kaysville - Syracuse
752,21,Layton - Fruit Heights
753,20,Kaysville - Syracuse
754,20,Kaysville - Syracuse
755,20,Kaysville - Syracuse
756,20,Kaysville - Syracuse
757,21,Layton - Fruit Heights
758,21,Layton - Fruit Heights
759,20,Kaysville - Syracuse
760,21,Layton - Fruit Heights
761,21,Layton - Fruit Heights
762,20,Kaysville - Syracuse
763,20,Kaysville - Syracuse
764,21,Layton - Fruit Heights
765,20,Kaysville - Syracuse
766,22,Farmington - Centerville
767,21,Layton - Fruit Heights
768,21,Layton - Fruit Heights
769,21,Layton - Fruit Heights
770,21,Layton - Fruit Heights
771,22,Farmington - Centerville
772,22,Farmington - Centerville
773,22,Farmington - Centerville
774,22,Farmington - Centerville
775,22,Farmington - Centerville
776,22,Farmington - Centerville
777,22,Farmington - Centerville
778,22,Farmington - Centerville
779,22,Farmington - Centerville
780,22,Farmington - Centerville
781,22,Farmington - Centerville
782,22,Farmington - Centerville
783,22,Farmington - Centerville
784,22,Farmington - Centerville
785,22,Farmington - Centerville
786,22,Farmington - Centerville
787,22,Farmington - Centerville
788,22,Farmington - Centerville
789,22,Farmington - Centerville
790,22,Farmington - Centerville
791,22,Farmington - Centerville
792,22,Farmington - Centerville
793,22,Farmington - Centerville
794,22,Farmington - Centerville
795,22,Farmington - Centerville
796,22,Farmington - Centerville
797,22,Farmington - Centerville
798,22,Farmington - Centerville
799,22,Farmington - Centerville
800,22,Farmington - Centerville
801,22,Farmington - Centerville
802,22,Farmington - Centerville
803,22,Farmington - Centerville
804,22,Farmington - Centerville
805,22,Farmington - Centerville
806,22,Farmington - Centerville
807,22,Farmington - Centerville
808,22,Farmington - Centerville
809,22,Farmington - Centerville
810,22,Farmington - Centerville
811,22,Farmington - Centerville
812,22,Farmington - Centerville
813,22,Farmington - Centerville
814,22,Farmington - Centerville
815,22,Farmington - Centerville
816,23,Woods Cross - Bountiful - North
817,23,Woods Cross - Bountiful - North
818,23,Woods Cross - Bountiful - North
819,23,Woods Cross - Bountiful - North
820,23,Woods Cross - Bountiful - North
821,23,Woods Cross - Bountiful - North
822,23,Woods Cross - Bountiful - North
823,23,Woods Cross - Bountiful - North
824,23,Woods Cross - Bountiful - North
825,23,Woods Cross - Bountiful - North
826,23,Woods Cross - Bountiful - North
827,23,Woods Cross - Bountiful - North
828,23,Woods Cross - Bountiful - North
829,23,Woods Cross - Bountiful - North
830,23,Woods Cross - Bountiful - North
831,23,Woods Cross - Bountiful - North
832,23,Woods Cross - Bountiful - North
833,23,Woods Cross - Bountiful - North
834,23,Woods Cross - Bountiful - North
835,23,Woods Cross - Bountiful - North
836,23,Woods Cross - Bountiful - North
837,23,Woods Cross - Bountiful - North
838,23,Woods Cross - Bountiful - North
839,23,Woods Cross - Bountiful - North
840,23,Woods Cross - Bountiful - North
841,23,Woods Cross - Bountiful - North
842,23,Woods Cross - Bountiful - North
843,23,Woods Cross - Bountiful - North
844,23,Woods Cross - Bountiful - North
845,23,Woods Cross - Bountiful - North
846,23,Woods Cross - Bountiful - North
847,23,Woods Cross - Bountiful - North
848,23,Woods Cross - Bountiful - North
849,23,Woods Cross - Bountiful - North
850,23,Woods Cross - Bountiful - North
851,23,Woods Cross - Bountiful - North
852,23,Woods Cross - Bountiful - North
853,23,Woods Cross - Bountiful - North
854,23,Woods Cross - Bountiful - North
855,23,Woods Cross - Bountiful - North
856,23,Woods Cross - Bountiful - North
857,23,Woods Cross - Bountiful - North
858,23,Woods Cross - Bountiful - North
859,23,Woods Cross - Bountiful - North
860,23,Woods Cross - Bountiful - North
861,23,Woods Cross - Bountiful - North
862,23,Woods Cross - Bountiful - North
863,23,Woods Cross - Bountiful - North
864,23,Woods Cross - Bountiful - North
865,23,Woods Cross - Bountiful - North
866,23,Woods Cross - Bountiful - North
867,23,Woods Cross - Bountiful - North
868,23,Woods Cross - Bountiful - North
869,23,Woods Cross - Bountiful - North
870,23,Woods Cross - Bountiful - North
871,23,Woods Cross - Bountiful - North
872,23,Woods Cross - Bountiful - North
873,23,Woods Cross - Bountiful - North
874,23,Woods Cross - Bountiful - North
875,23,Woods Cross - Bountiful - North
876,23,Woods Cross - Bountiful - North
877,23,Woods Cross - Bountiful - North
878,23,Woods Cross - Bountiful - North
879,23,Woods Cross - Bountiful - North
880,23,Woods Cross - Bountiful - North
881,23,Woods Cross - Bountiful - North
882,23,Woods Cross - Bountiful - North
883,23,Woods Cross - Bountiful - North
884,23,Woods Cross - Bountiful - North
885,23,Woods Cross - Bountiful - North
886,23,Woods Cross - Bountiful - North
887,23,Woods Cross - Bountiful - North
888,23,Woods Cross - Bountiful - North
889,23,Woods Cross - Bountiful - North
890,23,Woods Cross - Bountiful - North
891,23,Woods Cross - Bountiful - North
892,23,Woods Cross - Bountiful - North
