Purpose,TAZID,All,Walk,Bike,NonM,test_id
All,17.0,54.51,0.66,0.45,1.11,12
HBW,17.0,6.93,0.06,0.08,0.14,12
HBO,17.0,37.59,0.58,0.37,0.95,12
NHB,17.0,2.22,0.02,0.01,0.03,12
HBC,17.0,0.0,0.0,0.0,0.0,12
HBSch,17.0,7.77,0.0,0.0,0.0,12
All,18.0,175.86,4.05,0.84,4.89,12
HBW,18.0,0.0,0.0,0.0,0.0,12
HBO,18.0,0.0,0.0,0.0,0.0,12
NHB,18.0,175.86,4.05,0.84,4.89,12
HBC,18.0,0.0,0.0,0.0,0.0,12
HBSch,18.0,0.0,0.0,0.0,0.0,12
All,19.0,1700.49,93.61,22.71,192.21,12
HBW,19.0,273.5,4.98,5.0,9.98,12
HBO,19.0,1083.27,81.97,16.47,98.44,12
NHB,19.0,178.64,5.89,1.03,6.92,12
HBC,19.0,0.0,0.0,0.0,0.0,12
HBSch,19.0,165.07,0.77,0.21,76.87,12
All,20.0,1106.56,74.43,15.59,121.97,12
HBW,20.0,206.36,5.23,3.99,9.22,12
HBO,20.0,670.98,61.99,10.59,72.58,12
NHB,20.0,159.62,6.89,0.93,7.82,12
HBC,20.0,0.0,0.0,0.0,0.0,12
HBSch,20.0,69.59,0.32,0.09,32.36,12
All,21.0,100.29,2.54,0.55,3.09,12
HBW,21.0,0.0,0.0,0.0,0.0,12
HBO,21.0,0.0,0.0,0.0,0.0,12
NHB,21.0,100.29,2.54,0.55,3.09,12
HBC,21.0,0.0,0.0,0.0,0.0,12
HBSch,21.0,0.0,0.0,0.0,0.0,12
All,22.0,17.5,0.62,0.22,0.84,12
HBW,22.0,2.49,0.09,0.04,0.14,12
HBO,22.0,10.37,0.44,0.15,0.6,12
NHB,22.0,3.03,0.09,0.02,0.11,12
HBC,22.0,0.0,0.0,0.0,0.0,12
HBSch,22.0,1.61,0.0,0.0,0.0,12
All,23.0,60.26,3.01,0.71,8.06,12
HBW,23.0,6.21,0.22,0.11,0.33,12
HBO,23.0,33.74,2.26,0.49,2.75,12
NHB,23.0,15.01,0.48,0.09,0.58,12
HBC,23.0,0.0,0.0,0.0,0.0,12
HBSch,23.0,5.29,0.04,0.01,4.4,12
All,24.0,1046.47,83.6,14.93,197.79,12
HBW,24.0,161.57,5.18,3.26,8.44,12
HBO,24.0,711.23,74.16,10.97,85.13,12
NHB,24.0,65.1,3.26,0.4,3.66,12
HBC,24.0,3.0,0.0,0.0,0.0,12
HBSch,24.0,105.58,1.0,0.3,100.56,12
All,25.0,2497.21,252.01,37.52,450.31,12
HBW,25.0,445.43,26.47,10.02,36.49,12
HBO,25.0,1555.83,203.66,25.11,228.77,12
NHB,25.0,318.89,20.25,1.91,22.16,12
HBC,25.0,6.0,0.0,0.0,0.0,12
HBSch,25.0,171.07,1.62,0.48,162.89,12
All,26.0,1154.43,129.51,18.5,177.95,12
HBW,26.0,209.7,16.74,5.45,22.19,12
HBO,26.0,601.99,91.24,11.18,102.42,12
NHB,26.0,299.76,21.23,1.78,23.01,12
HBC,26.0,2.0,0.0,0.0,0.0,12
HBSch,26.0,40.98,0.3,0.09,30.33,12
All,27.0,0.0,0.0,0.0,0.0,12
HBW,27.0,0.0,0.0,0.0,0.0,12
HBO,27.0,0.0,0.0,0.0,0.0,12
NHB,27.0,0.0,0.0,0.0,0.0,12
HBC,27.0,0.0,0.0,0.0,0.0,12
HBSch,27.0,0.0,0.0,0.0,0.0,12
All,28.0,35.78,1.92,0.41,2.63,12
HBW,28.0,4.01,0.27,0.09,0.36,12
HBO,28.0,11.08,0.89,0.19,1.08,12
NHB,28.0,19.69,0.75,0.13,0.88,12
HBC,28.0,0.0,0.0,0.0,0.0,12
HBSch,28.0,1.0,0.0,0.0,0.3,12
All,29.0,1162.31,118.36,17.78,211.68,12
HBW,29.0,219.58,14.22,4.97,19.18,12
HBO,29.0,742.85,96.58,11.93,108.51,12
NHB,29.0,103.64,6.8,0.65,7.45,12
HBC,29.0,15.0,0.0,0.0,0.0,12
HBSch,29.0,81.23,0.76,0.23,76.53,12
All,30.0,2393.19,307.2,38.84,477.51,12
HBW,30.0,438.61,38.31,11.04,49.35,12
HBO,30.0,1491.53,241.12,25.46,266.59,12
NHB,30.0,318.14,26.43,1.95,28.38,12
HBC,30.0,3.0,0.0,0.0,0.0,12
HBSch,30.0,141.91,1.33,0.4,133.2,12
All,31.0,1680.78,212.32,24.64,307.84,12
HBW,31.0,259.66,25.26,6.5,31.76,12
HBO,31.0,870.93,144.91,15.08,159.99,12
NHB,31.0,473.54,41.43,2.84,44.28,12
HBC,31.0,0.0,0.0,0.0,0.0,12
HBSch,31.0,76.66,0.72,0.21,71.81,12
All,32.0,953.49,99.6,14.61,173.97,12
HBW,32.0,163.05,6.1,3.74,9.84,12
HBO,32.0,631.78,87.26,10.22,97.49,12
NHB,32.0,77.37,5.62,0.47,6.1,12
HBC,32.0,0.0,0.0,0.0,0.0,12
HBSch,32.0,81.29,0.6,0.18,60.55,12
All,33.0,1363.52,166.07,21.15,300.22,12
HBW,33.0,216.68,12.54,5.18,17.72,12
HBO,33.0,922.67,143.58,15.0,158.58,12
NHB,33.0,102.57,8.82,0.63,9.45,12
HBC,33.0,0.0,0.0,0.0,0.0,12
HBSch,33.0,121.59,1.14,0.34,114.47,12
All,34.0,1478.05,149.29,22.13,246.83,12
HBW,34.0,274.21,9.6,5.9,15.5,12
HBO,34.0,951.29,129.17,15.16,144.32,12
NHB,34.0,139.68,9.76,0.85,10.62,12
HBC,34.0,0.0,0.0,0.0,0.0,12
HBSch,34.0,112.86,0.76,0.22,76.39,12
All,35.0,2112.68,221.48,32.67,372.29,12
HBW,35.0,402.75,14.09,9.19,23.28,12
HBO,35.0,1357.67,192.37,21.96,214.32,12
NHB,35.0,191.39,13.83,1.17,15.0,12
HBC,35.0,13.01,0.0,0.0,0.0,12
HBSch,35.0,147.86,1.19,0.35,119.69,12
All,36.0,476.05,40.59,8.11,59.99,12
HBW,36.0,104.91,2.04,2.51,4.55,12
HBO,36.0,291.96,35.07,5.19,40.26,12
NHB,36.0,59.07,3.37,0.37,3.73,12
HBC,36.0,0.0,0.0,0.0,0.0,12
HBSch,36.0,20.11,0.11,0.03,11.44,12
All,37.0,6.82,0.2,0.07,0.28,12
HBW,37.0,0.72,0.02,0.01,0.04,12
HBO,37.0,3.53,0.13,0.04,0.17,12
NHB,37.0,2.33,0.06,0.02,0.07,12
HBC,37.0,0.0,0.0,0.0,0.0,12
HBSch,37.0,0.24,0.0,0.0,0.0,12
All,38.0,357.28,17.66,2.16,20.02,12
HBW,38.0,1.7,0.25,0.03,0.28,12
HBO,38.0,6.08,0.47,0.08,0.55,12
NHB,38.0,348.8,16.93,2.05,18.98,12
HBC,38.0,0.0,0.0,0.0,0.0,12
HBSch,38.0,0.7,0.0,0.0,0.2,12
All,39.0,556.59,70.08,7.67,103.33,12
HBW,39.0,81.8,11.03,1.98,13.01,12
HBO,39.0,280.34,45.05,4.53,49.58,12
NHB,39.0,164.5,13.74,1.08,14.83,12
HBC,39.0,0.0,0.0,0.0,0.0,12
HBSch,39.0,29.94,0.26,0.08,25.91,12
All,40.0,2447.56,386.47,40.25,519.37,12
HBW,40.0,425.0,65.7,11.6,77.3,12
HBO,40.0,1362.67,268.3,25.01,293.31,12
NHB,40.0,521.52,51.54,3.36,54.9,12
HBC,40.0,35.01,0.0,0.0,0.0,12
HBSch,40.0,103.36,0.94,0.28,93.87,12
All,41.0,1606.69,216.76,18.7,267.6,12
HBW,41.0,129.1,19.57,3.67,23.23,12
HBO,41.0,461.49,90.45,8.69,99.14,12
NHB,41.0,979.47,106.42,6.25,112.67,12
HBC,41.0,1.0,0.0,0.0,0.0,12
HBSch,41.0,35.64,0.32,0.1,32.56,12
All,42.0,640.53,87.44,9.97,146.06,12
HBW,42.0,90.85,8.47,2.39,10.85,12
HBO,42.0,408.88,71.12,6.94,78.06,12
NHB,42.0,79.78,7.35,0.5,7.85,12
HBC,42.0,5.0,0.0,0.0,0.0,12
HBSch,42.0,56.02,0.49,0.15,49.3,12
All,43.0,1832.8,203.87,26.84,371.69,12
HBW,43.0,298.58,17.7,6.7,24.4,12
HBO,43.0,1187.64,171.32,18.59,189.91,12
NHB,43.0,182.24,13.42,1.13,14.55,12
HBC,43.0,6.0,0.0,0.0,0.0,12
HBSch,43.0,158.34,1.42,0.43,142.83,12
All,44.0,1024.95,91.05,14.7,131.68,12
HBW,44.0,186.95,4.9,3.8,8.7,12
HBO,44.0,664.68,80.84,10.28,91.12,12
NHB,44.0,84.25,5.05,0.53,5.57,12
HBC,44.0,0.0,0.0,0.0,0.0,12
HBSch,44.0,89.07,0.26,0.09,26.28,12
All,45.0,456.42,33.03,6.26,50.65,12
HBW,45.0,78.33,2.07,1.44,3.51,12
HBO,45.0,294.62,28.98,4.52,33.5,12
NHB,45.0,40.9,1.87,0.26,2.13,12
HBC,45.0,0.0,0.0,0.0,0.0,12
HBSch,45.0,42.56,0.11,0.04,11.51,12
All,46.0,0.0,0.0,0.0,0.0,12
HBW,46.0,0.0,0.0,0.0,0.0,12
HBO,46.0,0.0,0.0,0.0,0.0,12
NHB,46.0,0.0,0.0,0.0,0.0,12
HBC,46.0,0.0,0.0,0.0,0.0,12
HBSch,46.0,0.0,0.0,0.0,0.0,12
All,47.0,0.0,0.0,0.0,0.0,12
HBW,47.0,0.0,0.0,0.0,0.0,12
HBO,47.0,0.0,0.0,0.0,0.0,12
NHB,47.0,0.0,0.0,0.0,0.0,12
HBC,47.0,0.0,0.0,0.0,0.0,12
HBSch,47.0,0.0,0.0,0.0,0.0,12
All,48.0,40.89,0.47,0.25,0.72,12
HBW,48.0,6.24,0.0,0.04,0.04,12
HBO,48.0,27.39,0.46,0.2,0.66,12
NHB,48.0,2.12,0.01,0.01,0.01,12
HBC,48.0,0.0,0.0,0.0,0.0,12
HBSch,48.0,5.14,0.0,0.0,0.0,12
All,49.0,408.31,12.82,2.38,15.2,12
HBW,49.0,0.0,0.0,0.0,0.0,12
HBO,49.0,0.0,0.0,0.0,0.0,12
NHB,49.0,408.31,12.82,2.38,15.2,12
HBC,49.0,0.0,0.0,0.0,0.0,12
HBSch,49.0,0.0,0.0,0.0,0.0,12
All,50.0,147.29,7.62,1.1,9.41,12
HBW,50.0,4.4,0.39,0.08,0.47,12
HBO,50.0,16.71,1.68,0.23,1.91,12
NHB,50.0,124.02,5.54,0.78,6.33,12
HBC,50.0,0.0,0.0,0.0,0.0,12
HBSch,50.0,2.16,0.01,0.0,0.7,12
All,51.0,86.19,9.41,0.98,15.8,12
HBW,51.0,7.92,0.84,0.15,0.99,12
HBO,51.0,43.59,6.54,0.64,7.17,12
NHB,51.0,27.81,1.98,0.18,2.16,12
HBC,51.0,0.0,0.0,0.0,0.0,12
HBSch,51.0,6.87,0.05,0.02,5.48,12
All,52.0,1122.36,126.04,9.89,145.56,12
HBW,52.0,52.94,12.69,1.3,13.99,12
HBO,52.0,185.29,36.77,3.26,40.03,12
NHB,52.0,868.65,76.48,5.3,81.78,12
HBC,52.0,0.0,0.0,0.0,0.0,12
HBSch,52.0,15.48,0.1,0.03,9.76,12
All,53.0,3427.76,517.03,38.72,647.31,12
HBW,53.0,277.84,63.35,7.44,70.79,12
HBO,53.0,1021.5,224.07,18.05,242.12,12
NHB,53.0,2027.89,228.68,12.96,241.64,12
HBC,53.0,0.0,0.0,0.0,0.0,12
HBSch,53.0,100.52,0.92,0.28,92.76,12
All,54.0,1647.71,246.94,22.6,321.04,12
HBW,54.0,202.91,36.48,5.57,42.05,12
HBO,54.0,692.94,138.09,12.4,150.49,12
NHB,54.0,695.85,71.86,4.47,76.32,12
HBC,54.0,0.0,0.0,0.0,0.0,12
HBSch,54.0,56.0,0.52,0.15,52.17,12
All,55.0,1279.44,169.48,19.77,228.98,12
HBW,55.0,202.28,23.18,5.18,28.36,12
HBO,55.0,734.08,123.9,12.82,136.72,12
NHB,55.0,264.91,22.0,1.64,23.64,12
HBC,55.0,1.0,0.0,0.0,0.0,12
HBSch,55.0,77.18,0.4,0.13,40.26,12
All,56.0,213.18,22.55,3.17,30.76,12
HBW,56.0,43.59,2.4,0.9,3.3,12
HBO,56.0,134.59,18.57,2.12,20.68,12
NHB,56.0,21.29,1.53,0.14,1.67,12
HBC,56.0,0.0,0.0,0.0,0.0,12
HBSch,56.0,13.72,0.05,0.02,5.11,12
All,57.0,424.47,47.55,6.98,66.94,12
HBW,57.0,92.51,4.99,2.26,7.25,12
HBO,57.0,261.48,38.62,4.36,42.98,12
NHB,57.0,50.63,3.81,0.33,4.14,12
HBC,57.0,0.0,0.0,0.0,0.0,12
HBSch,57.0,19.84,0.13,0.04,12.58,12
All,58.0,0.0,0.0,0.0,0.0,12
HBW,58.0,0.0,0.0,0.0,0.0,12
HBO,58.0,0.0,0.0,0.0,0.0,12
NHB,58.0,0.0,0.0,0.0,0.0,12
HBC,58.0,0.0,0.0,0.0,0.0,12
HBSch,58.0,0.0,0.0,0.0,0.0,12
All,59.0,0.0,0.0,0.0,0.0,12
HBW,59.0,0.0,0.0,0.0,0.0,12
HBO,59.0,0.0,0.0,0.0,0.0,12
NHB,59.0,0.0,0.0,0.0,0.0,12
HBC,59.0,0.0,0.0,0.0,0.0,12
HBSch,59.0,0.0,0.0,0.0,0.0,12
All,60.0,0.0,0.0,0.0,0.0,12
HBW,60.0,0.0,0.0,0.0,0.0,12
HBO,60.0,0.0,0.0,0.0,0.0,12
NHB,60.0,0.0,0.0,0.0,0.0,12
HBC,60.0,0.0,0.0,0.0,0.0,12
HBSch,60.0,0.0,0.0,0.0,0.0,12
All,61.0,1568.49,183.74,25.3,307.19,12
HBW,61.0,287.26,20.7,7.06,27.76,12
HBO,61.0,1025.19,153.06,17.01,170.06,12
NHB,61.0,143.69,8.99,0.93,9.92,12
HBC,61.0,0.0,0.0,0.0,0.0,12
HBSch,61.0,112.34,0.99,0.3,99.45,12
All,62.0,1801.69,238.81,26.91,398.17,12
HBW,62.0,294.26,26.25,6.83,33.08,12
HBO,62.0,1181.36,199.64,18.73,218.37,12
NHB,62.0,149.54,11.58,0.95,12.53,12
HBC,62.0,24.0,0.0,0.0,0.0,12
HBSch,62.0,152.53,1.34,0.4,134.19,12
All,63.0,331.89,39.96,3.65,58.21,12
HBW,63.0,28.45,4.19,0.65,4.83,12
HBO,63.0,126.84,22.17,1.91,24.08,12
NHB,63.0,158.19,13.46,1.05,14.5,12
HBC,63.0,0.0,0.0,0.0,0.0,12
HBSch,63.0,18.41,0.15,0.04,14.79,12
All,64.0,2176.08,275.89,30.05,425.17,12
HBW,64.0,310.19,30.25,7.32,37.57,12
HBO,64.0,1187.45,200.13,19.07,219.2,12
NHB,64.0,532.87,44.32,3.29,47.61,12
HBC,64.0,0.0,0.0,0.0,0.0,12
HBSch,64.0,145.57,1.2,0.36,120.79,12
All,65.0,2272.92,331.89,35.46,492.53,12
HBW,65.0,388.86,49.3,9.8,59.11,12
HBO,65.0,1352.55,245.37,22.79,268.16,12
NHB,65.0,379.33,35.95,2.49,38.43,12
HBC,65.0,0.0,0.0,0.0,0.0,12
HBSch,65.0,152.18,1.26,0.38,126.83,12
All,66.0,1228.83,153.99,18.22,202.15,12
HBW,66.0,180.42,18.92,5.01,23.93,12
HBO,66.0,549.45,97.81,10.28,108.09,12
NHB,66.0,459.44,36.96,2.83,39.8,12
HBC,66.0,1.0,0.0,0.0,0.0,12
HBSch,66.0,38.53,0.3,0.09,30.33,12
All,67.0,1386.36,185.94,20.13,258.91,12
HBW,67.0,188.33,23.07,5.05,28.12,12
HBO,67.0,673.14,119.86,11.95,131.81,12
NHB,67.0,456.25,42.47,2.97,45.43,12
HBC,67.0,0.0,0.0,0.0,0.0,12
HBSch,67.0,68.64,0.53,0.16,53.54,12
All,68.0,1140.05,141.79,19.51,209.37,12
HBW,68.0,220.4,15.98,5.77,21.74,12
HBO,68.0,710.54,114.37,12.64,127.01,12
NHB,68.0,150.84,10.96,0.95,11.91,12
HBC,68.0,0.0,0.0,0.0,0.0,12
HBSch,68.0,58.27,0.49,0.15,48.71,12
All,69.0,281.19,33.54,3.97,54.18,12
HBW,69.0,38.58,2.92,0.89,3.81,12
HBO,69.0,184.58,28.17,2.84,31.01,12
NHB,69.0,28.36,2.29,0.19,2.47,12
HBC,69.0,1.0,0.0,0.0,0.0,12
HBSch,69.0,28.67,0.17,0.05,16.89,12
All,70.0,958.39,94.57,14.75,186.37,12
HBW,70.0,141.81,6.93,3.35,10.28,12
HBO,70.0,648.97,82.81,10.71,93.53,12
NHB,70.0,71.04,4.05,0.45,4.51,12
HBC,70.0,0.0,0.0,0.0,0.0,12
HBSch,70.0,96.58,0.78,0.23,78.06,12
All,71.0,0.0,0.0,0.0,0.0,12
HBW,71.0,0.0,0.0,0.0,0.0,12
HBO,71.0,0.0,0.0,0.0,0.0,12
NHB,71.0,0.0,0.0,0.0,0.0,12
HBC,71.0,0.0,0.0,0.0,0.0,12
HBSch,71.0,0.0,0.0,0.0,0.0,12
All,72.0,891.64,91.16,13.37,146.32,12
HBW,72.0,124.28,8.5,2.98,11.48,12
HBO,72.0,575.56,76.27,9.62,85.89,12
NHB,72.0,100.12,5.97,0.63,6.6,12
HBC,72.0,0.0,0.0,0.0,0.0,12
HBSch,72.0,91.68,0.42,0.14,42.35,12
All,73.0,35.42,1.77,0.45,4.67,12
HBW,73.0,6.11,0.07,0.09,0.16,12
HBO,73.0,23.46,1.61,0.33,1.94,12
NHB,73.0,2.76,0.06,0.02,0.08,12
HBC,73.0,0.0,0.0,0.0,0.0,12
HBSch,73.0,3.09,0.02,0.01,2.49,12
All,74.0,0.0,0.0,0.0,0.0,12
HBW,74.0,0.0,0.0,0.0,0.0,12
HBO,74.0,0.0,0.0,0.0,0.0,12
NHB,74.0,0.0,0.0,0.0,0.0,12
HBC,74.0,0.0,0.0,0.0,0.0,12
HBSch,74.0,0.0,0.0,0.0,0.0,12
All,75.0,1115.54,117.48,14.65,132.13,12
HBW,75.0,170.11,12.51,3.69,16.2,12
HBO,75.0,589.44,87.12,9.26,96.39,12
NHB,75.0,273.13,17.85,1.7,19.55,12
HBC,75.0,9.0,0.0,0.0,0.0,12
HBSch,75.0,73.86,0.0,0.0,0.0,12
All,76.0,613.62,60.66,9.55,108.66,12
HBW,76.0,106.96,5.76,2.48,8.24,12
HBO,76.0,401.8,51.38,6.58,57.96,12
NHB,76.0,57.47,3.13,0.38,3.51,12
HBC,76.0,0.0,0.0,0.0,0.0,12
HBSch,76.0,47.4,0.39,0.11,38.95,12
All,77.0,1343.43,165.36,16.94,225.6,12
HBW,77.0,173.16,24.08,4.22,28.3,12
HBO,77.0,561.71,98.38,9.13,107.51,12
NHB,77.0,559.62,42.46,3.46,45.92,12
HBC,77.0,0.0,0.0,0.0,0.0,12
HBSch,77.0,48.95,0.44,0.13,43.87,12
All,78.0,3863.79,511.14,56.19,760.64,12
HBW,78.0,610.79,55.04,14.18,69.22,12
HBO,78.0,2273.3,396.92,37.05,433.97,12
NHB,78.0,708.93,57.22,4.37,61.59,12
HBC,78.0,22.0,0.0,0.0,0.0,12
HBSch,78.0,248.77,1.95,0.59,195.86,12
All,79.0,1197.81,128.66,11.11,153.24,12
HBW,79.0,69.28,8.54,1.69,10.23,12
HBO,79.0,236.42,44.05,4.02,48.07,12
NHB,79.0,874.81,75.93,5.36,81.29,12
HBC,79.0,0.0,0.0,0.0,0.0,12
HBSch,79.0,17.3,0.14,0.04,13.64,12
All,80.0,1385.17,160.54,17.4,205.46,12
HBW,80.0,161.05,18.05,4.2,22.24,12
HBO,80.0,490.21,88.18,8.9,97.08,12
NHB,80.0,694.54,54.03,4.22,58.25,12
HBC,80.0,9.0,0.0,0.0,0.0,12
HBSch,80.0,30.37,0.28,0.08,27.88,12
All,81.0,473.49,38.29,7.78,58.27,12
HBW,81.0,76.77,5.47,2.12,7.59,12
HBO,81.0,232.5,27.51,4.72,32.23,12
NHB,81.0,147.76,5.19,0.91,6.1,12
HBC,81.0,0.0,0.0,0.0,0.0,12
HBSch,81.0,16.46,0.12,0.04,12.36,12
All,82.0,2793.0,329.36,41.54,441.66,12
HBW,82.0,436.45,45.18,11.48,56.66,12
HBO,82.0,1306.47,217.05,24.05,241.1,12
NHB,82.0,951.77,66.42,5.8,72.22,12
HBC,82.0,0.0,0.0,0.0,0.0,12
HBSch,82.0,98.31,0.71,0.22,71.69,12
All,83.0,855.95,63.82,5.2,69.02,12
HBW,83.0,0.0,0.0,0.0,0.0,12
HBO,83.0,0.0,0.0,0.0,0.0,12
NHB,83.0,855.95,63.82,5.2,69.02,12
HBC,83.0,0.0,0.0,0.0,0.0,12
HBSch,83.0,0.0,0.0,0.0,0.0,12
All,84.0,503.62,42.28,3.07,45.35,12
HBW,84.0,0.0,0.0,0.0,0.0,12
HBO,84.0,0.0,0.0,0.0,0.0,12
NHB,84.0,503.62,42.28,3.07,45.35,12
HBC,84.0,0.0,0.0,0.0,0.0,12
HBSch,84.0,0.0,0.0,0.0,0.0,12
All,85.0,445.87,40.77,5.37,64.04,12
HBW,85.0,66.96,3.42,1.13,4.55,12
HBO,85.0,261.97,32.56,3.71,36.27,12
NHB,85.0,77.51,4.61,0.48,5.09,12
HBC,85.0,0.0,0.0,0.0,0.0,12
HBSch,85.0,39.43,0.18,0.05,18.13,12
All,86.0,100.52,1.27,0.51,1.78,12
HBW,86.0,0.0,0.0,0.0,0.0,12
HBO,86.0,0.0,0.0,0.0,0.0,12
NHB,86.0,100.52,1.27,0.51,1.78,12
HBC,86.0,0.0,0.0,0.0,0.0,12
HBSch,86.0,0.0,0.0,0.0,0.0,12
All,87.0,0.0,0.0,0.0,0.0,12
HBW,87.0,0.0,0.0,0.0,0.0,12
HBO,87.0,0.0,0.0,0.0,0.0,12
NHB,87.0,0.0,0.0,0.0,0.0,12
HBC,87.0,0.0,0.0,0.0,0.0,12
HBSch,87.0,0.0,0.0,0.0,0.0,12
All,88.0,1.85,0.08,0.01,0.09,12
HBW,88.0,0.0,0.0,0.0,0.0,12
HBO,88.0,0.0,0.0,0.0,0.0,12
NHB,88.0,1.85,0.08,0.01,0.09,12
HBC,88.0,0.0,0.0,0.0,0.0,12
HBSch,88.0,0.0,0.0,0.0,0.0,12
All,89.0,1637.11,108.68,10.74,126.18,12
HBW,89.0,45.72,2.55,0.68,3.23,12
HBO,89.0,154.02,14.23,1.99,16.22,12
NHB,89.0,1421.13,91.84,8.05,99.88,12
HBC,89.0,0.0,0.0,0.0,0.0,12
HBSch,89.0,16.24,0.07,0.02,6.85,12
All,90.0,2950.76,239.01,21.13,287.42,12
HBW,90.0,84.52,7.44,1.51,8.95,12
HBO,90.0,332.25,37.81,4.57,42.39,12
