Purpose,TAZID,All,Walk,Bike,NonM,test_id
HBC,7.0,0.0,0.0,0.0,0.0,8
HBSch,7.0,32.82,0.0,0.0,0.0,8
All,8.0,529.22,10.47,4.86,15.33,8
HBW,8.0,67.81,0.67,0.87,1.54,8
HBO,8.0,269.29,8.64,3.54,12.18,8
NHB,8.0,92.55,1.16,0.45,1.61,8
HBC,8.0,57.0,0.0,0.0,0.0,8
HBSch,8.0,42.57,0.0,0.0,0.0,8
All,9.0,36.88,0.86,0.17,1.04,8
HBW,9.0,1.47,0.05,0.01,0.06,8
HBO,9.0,5.75,0.41,0.07,0.48,8
NHB,9.0,29.22,0.4,0.09,0.49,8
HBC,9.0,0.0,0.0,0.0,0.0,8
HBSch,9.0,0.44,0.0,0.0,0.0,8
All,10.0,182.7,4.29,1.44,5.73,8
HBW,10.0,24.72,0.48,0.29,0.78,8
HBO,10.0,106.06,3.5,1.03,4.53,8
NHB,10.0,34.35,0.3,0.12,0.42,8
HBC,10.0,0.0,0.0,0.0,0.0,8
HBSch,10.0,17.57,0.0,0.0,0.0,8
All,11.0,22.5,0.12,0.15,0.26,8
HBW,11.0,4.1,0.0,0.03,0.03,8
HBO,11.0,14.75,0.11,0.11,0.22,8
NHB,11.0,1.27,0.0,0.0,0.01,8
HBC,11.0,0.0,0.0,0.0,0.0,8
HBSch,11.0,2.38,0.0,0.0,0.0,8
All,12.0,125.17,2.66,1.09,3.75,8
HBW,12.0,20.42,0.02,0.2,0.22,8
HBO,12.0,82.89,2.61,0.86,3.47,8
NHB,12.0,7.39,0.03,0.03,0.07,8
HBC,12.0,0.0,0.0,0.0,0.0,8
HBSch,12.0,14.46,0.0,0.0,0.0,8
All,13.0,0.0,0.0,0.0,0.0,8
HBW,13.0,0.0,0.0,0.0,0.0,8
HBO,13.0,0.0,0.0,0.0,0.0,8
NHB,13.0,0.0,0.0,0.0,0.0,8
HBC,13.0,0.0,0.0,0.0,0.0,8
HBSch,13.0,0.0,0.0,0.0,0.0,8
All,14.0,0.0,0.0,0.0,0.0,8
HBW,14.0,0.0,0.0,0.0,0.0,8
HBO,14.0,0.0,0.0,0.0,0.0,8
NHB,14.0,0.0,0.0,0.0,0.0,8
HBC,14.0,0.0,0.0,0.0,0.0,8
HBSch,14.0,0.0,0.0,0.0,0.0,8
All,15.0,73.17,0.33,0.24,0.57,8
HBW,15.0,1.53,0.02,0.02,0.05,8
HBO,15.0,4.19,0.04,0.03,0.07,8
NHB,15.0,66.7,0.27,0.19,0.46,8
HBC,15.0,0.0,0.0,0.0,0.0,8
HBSch,15.0,0.75,0.0,0.0,0.0,8
All,16.0,36.12,0.57,0.25,0.82,8
HBW,16.0,1.57,0.05,0.03,0.07,8
HBO,16.0,4.81,0.13,0.07,0.2,8
NHB,16.0,28.97,0.39,0.16,0.55,8
HBC,16.0,0.0,0.0,0.0,0.0,8
HBSch,16.0,0.77,0.0,0.0,0.0,8
All,17.0,54.29,0.71,0.49,1.2,8
HBW,17.0,6.77,0.06,0.08,0.13,8
HBO,17.0,37.76,0.64,0.4,1.04,8
NHB,17.0,2.02,0.02,0.01,0.03,8
HBC,17.0,0.0,0.0,0.0,0.0,8
HBSch,17.0,7.74,0.0,0.0,0.0,8
All,18.0,146.53,3.46,0.73,4.19,8
HBW,18.0,0.0,0.0,0.0,0.0,8
HBO,18.0,0.0,0.0,0.0,0.0,8
NHB,18.0,146.53,3.46,0.73,4.19,8
HBC,18.0,0.0,0.0,0.0,0.0,8
HBSch,18.0,0.0,0.0,0.0,0.0,8
All,19.0,1682.9,94.91,22.82,193.61,8
HBW,19.0,273.5,4.74,4.87,9.62,8
HBO,19.0,1084.19,83.98,16.81,100.79,8
NHB,19.0,160.12,5.41,0.94,6.35,8
HBC,19.0,0.0,0.0,0.0,0.0,8
HBSch,19.0,165.09,0.77,0.21,76.85,8
All,20.0,1090.68,75.23,15.62,122.8,8
HBW,20.0,205.93,4.9,3.86,8.76,8
HBO,20.0,672.16,63.67,10.83,74.5,8
NHB,20.0,143.02,6.34,0.85,7.18,8
HBC,20.0,0.0,0.0,0.0,0.0,8
HBSch,20.0,69.57,0.32,0.09,32.36,8
All,21.0,83.16,2.16,0.47,2.63,8
HBW,21.0,0.0,0.0,0.0,0.0,8
HBO,21.0,0.0,0.0,0.0,0.0,8
NHB,21.0,83.16,2.16,0.47,2.63,8
HBC,21.0,0.0,0.0,0.0,0.0,8
HBSch,21.0,0.0,0.0,0.0,0.0,8
All,22.0,17.18,0.63,0.22,0.85,8
HBW,22.0,2.45,0.09,0.04,0.14,8
HBO,22.0,10.54,0.46,0.16,0.62,8
NHB,22.0,2.58,0.07,0.02,0.09,8
HBC,22.0,0.0,0.0,0.0,0.0,8
HBSch,22.0,1.61,0.0,0.0,0.0,8
All,23.0,58.12,3.01,0.71,8.06,8
HBW,23.0,6.05,0.22,0.11,0.32,8
HBO,23.0,33.96,2.33,0.51,2.84,8
NHB,23.0,12.79,0.42,0.08,0.5,8
HBC,23.0,0.0,0.0,0.0,0.0,8
HBSch,23.0,5.3,0.04,0.01,4.4,8
All,24.0,1041.23,84.7,15.01,198.89,8
HBW,24.0,160.94,5.01,3.19,8.19,8
HBO,24.0,713.08,75.7,11.16,86.87,8
NHB,24.0,58.63,2.98,0.37,3.35,8
HBC,24.0,3.0,0.0,0.0,0.0,8
HBSch,24.0,105.58,1.0,0.3,100.48,8
All,25.0,2465.66,252.48,37.51,450.69,8
HBW,25.0,445.59,25.2,9.82,35.02,8
HBO,25.0,1558.15,207.2,25.48,232.67,8
NHB,25.0,284.77,18.47,1.73,20.2,8
HBC,25.0,6.0,0.0,0.0,0.0,8
HBSch,25.0,171.15,1.62,0.48,162.8,8
All,26.0,1122.15,128.21,18.36,176.47,8
HBW,26.0,209.12,16.03,5.36,21.39,8
HBO,26.0,602.71,92.57,11.31,103.88,8
NHB,26.0,267.34,19.31,1.61,20.92,8
HBC,26.0,2.0,0.0,0.0,0.0,8
HBSch,26.0,40.98,0.3,0.09,30.29,8
All,27.0,0.0,0.0,0.0,0.0,8
HBW,27.0,0.0,0.0,0.0,0.0,8
HBO,27.0,0.0,0.0,0.0,0.0,8
NHB,27.0,0.0,0.0,0.0,0.0,8
HBC,27.0,0.0,0.0,0.0,0.0,8
HBSch,27.0,0.0,0.0,0.0,0.0,8
All,28.0,32.58,1.84,0.4,2.53,8
HBW,28.0,3.87,0.27,0.09,0.36,8
HBO,28.0,11.22,0.93,0.2,1.12,8
NHB,28.0,16.5,0.64,0.11,0.75,8
HBC,28.0,0.0,0.0,0.0,0.0,8
HBSch,28.0,0.99,0.0,0.0,0.3,8
All,29.0,1153.34,119.03,17.78,212.32,8
HBW,29.0,219.43,13.78,4.84,18.62,8
HBO,29.0,744.85,98.29,12.12,110.41,8
NHB,29.0,92.85,6.2,0.59,6.79,8
HBC,29.0,15.0,0.0,0.0,0.0,8
HBSch,29.0,81.22,0.76,0.23,76.5,8
All,30.0,2361.61,307.24,38.85,477.49,8
HBW,30.0,438.56,37.07,10.88,47.95,8
HBO,30.0,1493.54,244.79,25.81,270.6,8
NHB,30.0,284.57,24.06,1.77,25.82,8
HBC,30.0,3.0,0.0,0.0,0.0,8
HBSch,30.0,141.94,1.33,0.4,133.12,8
All,31.0,1628.02,209.34,24.44,304.64,8
HBW,31.0,258.82,24.41,6.42,30.83,8
HBO,31.0,872.25,146.77,15.26,162.03,8
NHB,31.0,420.31,37.44,2.56,40.0,8
HBC,31.0,0.0,0.0,0.0,0.0,8
HBSch,31.0,76.65,0.72,0.21,71.78,8
All,32.0,946.73,100.35,14.65,174.68,8
HBW,32.0,162.43,5.82,3.67,9.49,8
HBO,32.0,633.28,88.78,10.37,99.14,8
NHB,32.0,69.68,5.15,0.43,5.58,8
HBC,32.0,0.0,0.0,0.0,0.0,8
HBSch,32.0,81.34,0.6,0.17,60.46,8
All,33.0,1354.25,167.07,21.23,301.24,8
HBW,33.0,216.38,12.07,5.1,17.18,8
HBO,33.0,924.58,145.83,15.21,161.04,8
NHB,33.0,91.69,8.03,0.57,8.6,8
HBC,33.0,0.0,0.0,0.0,0.0,8
HBSch,33.0,121.6,1.14,0.34,114.42,8
All,34.0,1464.45,150.91,22.16,248.34,8
HBW,34.0,274.08,9.03,5.73,14.76,8
HBO,34.0,952.64,132.17,15.44,147.61,8
NHB,34.0,124.85,8.95,0.78,9.73,8
HBC,34.0,0.0,0.0,0.0,0.0,8
HBSch,34.0,112.87,0.76,0.22,76.25,8
All,35.0,2096.09,223.12,32.62,373.75,8
HBW,35.0,402.95,13.35,8.92,22.27,8
HBO,35.0,1360.43,195.92,22.28,218.2,8
NHB,35.0,171.76,12.67,1.07,13.73,8
HBC,35.0,13.01,0.0,0.0,0.0,8
HBSch,35.0,147.93,1.19,0.35,119.55,8
All,36.0,470.3,41.16,8.11,60.53,8
HBW,36.0,104.47,1.93,2.44,4.37,8
HBO,36.0,292.56,36.0,5.3,41.3,8
NHB,36.0,53.15,3.11,0.34,3.45,8
HBC,36.0,0.0,0.0,0.0,0.0,8
HBSch,36.0,20.11,0.11,0.03,11.41,8
All,37.0,6.7,0.21,0.07,0.28,8
HBW,37.0,0.73,0.02,0.01,0.04,8
HBO,37.0,3.61,0.13,0.04,0.18,8
NHB,37.0,2.11,0.05,0.02,0.07,8
HBC,37.0,0.0,0.0,0.0,0.0,8
HBSch,37.0,0.25,0.0,0.0,0.0,8
All,38.0,298.86,15.12,1.86,17.17,8
HBW,38.0,1.7,0.25,0.03,0.28,8
HBO,38.0,6.2,0.49,0.08,0.57,8
NHB,38.0,290.26,14.38,1.75,16.12,8
HBC,38.0,0.0,0.0,0.0,0.0,8
HBSch,38.0,0.7,0.0,0.0,0.2,8
All,39.0,540.34,69.46,7.62,102.63,8
HBW,39.0,81.36,10.79,1.95,12.73,8
HBO,39.0,282.57,45.98,4.62,50.6,8
NHB,39.0,146.42,12.44,0.98,13.41,8
HBC,39.0,0.0,0.0,0.0,0.0,8
HBSch,39.0,29.98,0.26,0.08,25.89,8
All,40.0,2392.4,384.45,40.18,517.22,8
HBW,40.0,425.08,64.07,11.47,75.54,8
HBO,40.0,1363.74,272.66,25.39,298.05,8
NHB,40.0,465.17,46.79,3.04,49.83,8
HBC,40.0,35.01,0.0,0.0,0.0,8
HBSch,40.0,103.4,0.94,0.28,93.8,8
All,41.0,1505.38,208.35,18.24,258.7,8
HBW,41.0,128.55,19.08,3.64,22.71,8
HBO,41.0,463.36,91.96,8.83,100.78,8
NHB,41.0,876.83,96.99,5.68,102.67,8
HBC,41.0,1.0,0.0,0.0,0.0,8
HBSch,41.0,35.65,0.32,0.1,32.54,8
All,42.0,633.25,87.52,9.99,146.14,8
HBW,42.0,90.53,8.26,2.37,10.62,8
HBO,42.0,411.87,72.13,7.03,79.16,8
NHB,42.0,70.82,6.64,0.45,7.09,8
HBC,42.0,4.0,0.0,0.0,0.0,8
HBSch,42.0,56.03,0.49,0.15,49.27,8
All,43.0,1816.07,205.13,26.87,372.91,8
HBW,43.0,298.49,16.89,6.54,23.43,8
HBO,43.0,1189.08,174.58,18.88,193.46,8
NHB,43.0,163.15,12.25,1.02,13.27,8
HBC,43.0,7.0,0.0,0.0,0.0,8
HBSch,43.0,158.34,1.42,0.43,142.75,8
All,44.0,1017.22,92.09,14.71,132.7,8
HBW,44.0,186.79,4.64,3.68,8.32,8
HBO,44.0,665.71,82.56,10.46,93.02,8
NHB,44.0,75.62,4.63,0.48,5.11,8
HBC,44.0,0.0,0.0,0.0,0.0,8
HBSch,44.0,89.1,0.26,0.09,26.25,8
All,45.0,453.35,33.47,6.27,51.06,8
HBW,45.0,77.52,1.96,1.38,3.35,8
HBO,45.0,296.73,29.69,4.61,34.3,8
NHB,45.0,36.54,1.7,0.23,1.94,8
HBC,45.0,0.0,0.0,0.0,0.0,8
HBSch,45.0,42.55,0.11,0.04,11.47,8
All,46.0,0.0,0.0,0.0,0.0,8
HBW,46.0,0.0,0.0,0.0,0.0,8
HBO,46.0,0.0,0.0,0.0,0.0,8
NHB,46.0,0.0,0.0,0.0,0.0,8
HBC,46.0,0.0,0.0,0.0,0.0,8
HBSch,46.0,0.0,0.0,0.0,0.0,8
All,47.0,0.0,0.0,0.0,0.0,8
HBW,47.0,0.0,0.0,0.0,0.0,8
HBO,47.0,0.0,0.0,0.0,0.0,8
NHB,47.0,0.0,0.0,0.0,0.0,8
HBC,47.0,0.0,0.0,0.0,0.0,8
HBSch,47.0,0.0,0.0,0.0,0.0,8
All,48.0,40.57,0.52,0.27,0.79,8
HBW,48.0,6.02,0.0,0.04,0.04,8
HBO,48.0,27.53,0.52,0.22,0.74,8
NHB,48.0,1.93,0.01,0.01,0.01,8
HBC,48.0,0.0,0.0,0.0,0.0,8
HBSch,48.0,5.1,0.0,0.0,0.0,8
All,49.0,364.62,11.87,2.18,14.05,8
HBW,49.0,0.0,0.0,0.0,0.0,8
HBO,49.0,0.0,0.0,0.0,0.0,8
NHB,49.0,364.62,11.87,2.18,14.05,8
HBC,49.0,0.0,0.0,0.0,0.0,8
HBSch,49.0,0.0,0.0,0.0,0.0,8
All,50.0,132.46,7.07,1.02,8.78,8
HBW,50.0,4.31,0.38,0.08,0.46,8
HBO,50.0,16.77,1.72,0.23,1.95,8
NHB,50.0,109.22,4.96,0.7,5.66,8
HBC,50.0,0.0,0.0,0.0,0.0,8
HBSch,50.0,2.16,0.01,0.0,0.7,8
All,51.0,82.59,9.27,0.97,15.64,8
HBW,51.0,7.85,0.82,0.15,0.97,8
HBO,51.0,43.98,6.67,0.65,7.32,8
NHB,51.0,23.9,1.72,0.16,1.88,8
HBC,51.0,0.0,0.0,0.0,0.0,8
HBSch,51.0,6.86,0.05,0.02,5.47,8
All,52.0,1012.77,117.68,9.31,136.65,8
HBW,52.0,52.56,12.59,1.3,13.88,8
HBO,52.0,185.67,37.2,3.3,40.5,8
NHB,52.0,759.04,67.8,4.69,72.49,8
HBC,52.0,0.0,0.0,0.0,0.0,8
HBSch,52.0,15.5,0.1,0.03,9.78,8
All,53.0,3209.76,497.6,37.69,626.78,8
HBW,53.0,277.52,62.33,7.39,69.72,8
HBO,53.0,1025.35,227.32,18.32,245.64,8
NHB,53.0,1806.36,207.03,11.7,218.74,8
HBC,53.0,0.0,0.0,0.0,0.0,8
HBSch,53.0,100.53,0.92,0.28,92.69,8
All,54.0,1568.47,241.34,22.29,315.1,8
HBW,54.0,202.43,35.69,5.52,41.21,8
HBO,54.0,693.23,140.3,12.6,152.9,8
NHB,54.0,616.78,64.83,4.02,68.85,8
HBC,54.0,0.0,0.0,0.0,0.0,8
HBSch,54.0,56.03,0.52,0.15,52.14,8
All,55.0,1250.36,168.57,19.73,227.99,8
HBW,55.0,202.16,22.57,5.13,27.7,8
HBO,55.0,735.16,125.71,13.0,138.71,8
NHB,55.0,235.84,19.88,1.48,21.36,8
HBC,55.0,0.0,0.0,0.0,0.0,8
HBSch,55.0,77.2,0.4,0.13,40.22,8
All,56.0,211.28,22.63,3.16,30.84,8
HBW,56.0,43.25,2.32,0.87,3.19,8
HBO,56.0,135.09,18.87,2.15,21.01,8
NHB,56.0,19.21,1.39,0.13,1.52,8
HBC,56.0,0.0,0.0,0.0,0.0,8
HBSch,56.0,13.73,0.05,0.02,5.12,8
All,57.0,420.01,47.67,6.96,67.04,8
HBW,57.0,91.99,4.76,2.19,6.95,8
HBO,57.0,262.4,39.3,4.43,43.73,8
NHB,57.0,45.76,3.48,0.3,3.78,8
HBC,57.0,0.0,0.0,0.0,0.0,8
HBSch,57.0,19.85,0.13,0.04,12.57,8
All,58.0,0.0,0.0,0.0,0.0,8
HBW,58.0,0.0,0.0,0.0,0.0,8
HBO,58.0,0.0,0.0,0.0,0.0,8
NHB,58.0,0.0,0.0,0.0,0.0,8
HBC,58.0,0.0,0.0,0.0,0.0,8
HBSch,58.0,0.0,0.0,0.0,0.0,8
All,59.0,0.0,0.0,0.0,0.0,8
HBW,59.0,0.0,0.0,0.0,0.0,8
HBO,59.0,0.0,0.0,0.0,0.0,8
NHB,59.0,0.0,0.0,0.0,0.0,8
HBC,59.0,0.0,0.0,0.0,0.0,8
HBSch,59.0,0.0,0.0,0.0,0.0,8
All,60.0,0.0,0.0,0.0,0.0,8
HBW,60.0,0.0,0.0,0.0,0.0,8
HBO,60.0,0.0,0.0,0.0,0.0,8
NHB,60.0,0.0,0.0,0.0,0.0,8
HBC,60.0,0.0,0.0,0.0,0.0,8
HBSch,60.0,0.0,0.0,0.0,0.0,8
All,61.0,1555.76,185.89,25.42,309.37,8
HBW,61.0,287.38,20.29,6.94,27.23,8
HBO,61.0,1027.1,156.4,17.34,173.74,8
NHB,61.0,128.93,8.21,0.85,9.06,8
HBC,61.0,0.0,0.0,0.0,0.0,8
HBSch,61.0,112.34,0.99,0.29,99.34,8
All,62.0,1789.03,239.96,26.95,399.24,8
HBW,62.0,294.2,25.65,6.71,32.36,8
HBO,62.0,1184.24,202.47,18.98,221.45,8
NHB,62.0,134.02,10.51,0.86,11.37,8
HBC,62.0,24.0,0.0,0.0,0.0,8
HBSch,62.0,152.57,1.34,0.4,134.06,8
All,63.0,314.5,39.03,3.58,57.21,8
HBW,63.0,28.12,4.09,0.63,4.72,8
HBO,63.0,127.47,22.66,1.95,24.62,8
NHB,63.0,140.48,12.13,0.94,13.08,8
HBC,63.0,0.0,0.0,0.0,0.0,8
HBSch,63.0,18.43,0.15,0.04,14.79,8
All,64.0,2119.71,273.45,29.87,422.4,8
HBW,64.0,309.89,29.45,7.21,36.67,8
HBO,64.0,1189.94,202.77,19.32,222.09,8
NHB,64.0,474.29,40.03,2.97,42.99,8
HBC,64.0,0.0,0.0,0.0,0.0,8
HBSch,64.0,145.58,1.2,0.36,120.65,8
All,65.0,2234.37,332.59,35.55,493.18,8
HBW,65.0,388.53,48.0,9.65,57.66,8
HBO,65.0,1353.84,250.56,23.26,273.82,8
NHB,65.0,339.79,32.76,2.26,35.02,8
HBC,65.0,0.0,0.0,0.0,0.0,8
HBSch,65.0,152.21,1.26,0.38,126.68,8
All,66.0,1179.38,151.32,18.0,199.21,8
HBW,66.0,179.77,18.45,4.93,23.38,8
HBO,66.0,549.4,99.06,10.41,109.47,8
NHB,66.0,410.66,33.52,2.56,36.08,8
HBC,66.0,1.0,0.0,0.0,0.0,8
HBSch,66.0,38.56,0.3,0.09,30.28,8
All,67.0,1340.75,183.91,20.02,256.71,8
HBW,67.0,188.14,22.5,4.99,27.49,8
HBO,67.0,675.47,122.2,12.17,134.37,8
NHB,67.0,408.47,38.67,2.69,41.36,8
HBC,67.0,0.0,0.0,0.0,0.0,8
HBSch,67.0,68.67,0.53,0.16,53.48,8
All,68.0,1124.9,142.36,19.54,209.91,8
HBW,68.0,219.76,15.56,5.68,21.24,8
HBO,68.0,711.81,116.34,12.85,129.19,8
NHB,68.0,135.08,9.97,0.86,10.84,8
HBC,68.0,0.0,0.0,0.0,0.0,8
HBSch,68.0,58.25,0.48,0.15,48.64,8
All,69.0,278.01,33.67,3.98,54.3,8
HBW,69.0,38.07,2.84,0.87,3.71,8
HBO,69.0,184.96,28.6,2.88,31.49,8
NHB,69.0,25.3,2.06,0.17,2.23,8
HBC,69.0,1.0,0.0,0.0,0.0,8
HBSch,69.0,28.69,0.17,0.05,16.87,8
All,70.0,950.64,95.71,14.86,187.53,8
HBW,70.0,141.31,6.74,3.29,10.04,8
HBO,70.0,649.08,84.5,10.92,95.42,8
NHB,70.0,63.67,3.69,0.41,4.1,8
HBC,70.0,0.0,0.0,0.0,0.0,8
HBSch,70.0,96.59,0.78,0.23,77.97,8
All,71.0,0.0,0.0,0.0,0.0,8
HBW,71.0,0.0,0.0,0.0,0.0,8
HBO,71.0,0.0,0.0,0.0,0.0,8
NHB,71.0,0.0,0.0,0.0,0.0,8
HBC,71.0,0.0,0.0,0.0,0.0,8
HBSch,71.0,0.0,0.0,0.0,0.0,8
All,72.0,882.1,91.72,13.44,146.92,8
HBW,72.0,123.93,8.29,2.96,11.26,8
HBO,72.0,577.37,77.61,9.77,87.38,8
NHB,72.0,89.08,5.4,0.57,5.97,8
HBC,72.0,0.0,0.0,0.0,0.0,8
HBSch,72.0,91.72,0.42,0.14,42.32,8
All,73.0,35.21,1.81,0.45,4.71,8
HBW,73.0,6.08,0.07,0.08,0.15,8
HBO,73.0,23.63,1.66,0.34,2.0,8
NHB,73.0,2.4,0.06,0.02,0.07,8
HBC,73.0,0.0,0.0,0.0,0.0,8
HBSch,73.0,3.1,0.02,0.01,2.49,8
All,74.0,0.0,0.0,0.0,0.0,8
HBW,74.0,0.0,0.0,0.0,0.0,8
HBO,74.0,0.0,0.0,0.0,0.0,8
NHB,74.0,0.0,0.0,0.0,0.0,8
HBC,74.0,0.0,0.0,0.0,0.0,8
HBSch,74.0,0.0,0.0,0.0,0.0,8
All,75.0,1086.73,118.53,14.73,133.25,8
HBW,75.0,169.82,12.38,3.62,16.0,8
HBO,75.0,590.67,89.86,9.56,99.42,8
NHB,75.0,243.4,16.29,1.54,17.83,8
HBC,75.0,9.0,0.0,0.0,0.0,8
HBSch,75.0,73.84,0.0,0.0,0.0,8
All,76.0,608.45,62.08,9.69,110.17,8
HBW,76.0,106.54,5.66,2.42,8.08,8
HBO,76.0,402.86,53.17,6.8,59.97,8
NHB,76.0,51.66,2.87,0.35,3.21,8
HBC,76.0,0.0,0.0,0.0,0.0,8
HBSch,76.0,47.39,0.39,0.11,38.9,8
All,77.0,1282.33,162.66,16.67,222.56,8
HBW,77.0,172.49,23.79,4.15,27.95,8
HBO,77.0,562.79,100.0,9.26,109.27,8
NHB,77.0,498.08,38.42,3.12,41.55,8
HBC,77.0,0.0,0.0,0.0,0.0,8
HBSch,77.0,48.97,0.44,0.13,43.8,8
All,78.0,3788.36,511.39,56.19,760.47,8
HBW,78.0,610.26,53.87,13.95,67.82,8
HBO,78.0,2274.18,403.58,37.69,441.27,8
NHB,78.0,633.98,52.0,3.96,55.95,8
HBC,78.0,21.0,0.0,0.0,0.0,8
HBSch,78.0,248.95,1.95,0.59,195.43,8
All,79.0,1102.0,121.75,10.61,145.79,8
HBW,79.0,68.73,8.38,1.67,10.05,8
HBO,79.0,236.87,44.57,4.07,48.64,8
NHB,79.0,779.07,68.66,4.83,73.49,8
HBC,79.0,0.0,0.0,0.0,0.0,8
HBSch,79.0,17.33,0.14,0.04,13.62,8
All,80.0,1311.46,156.42,17.05,200.97,8
HBW,80.0,160.71,17.71,4.12,21.83,8
HBO,80.0,492.55,89.61,9.05,98.66,8
NHB,80.0,617.83,48.82,3.8,52.63,8
HBC,80.0,10.0,0.0,0.0,0.0,8
HBSch,80.0,30.37,0.28,0.08,27.85,8
All,81.0,456.19,38.62,7.8,58.58,8
HBW,81.0,76.07,5.41,2.08,7.49,8
HBO,81.0,232.52,28.37,4.86,33.23,8
NHB,81.0,131.15,4.72,0.82,5.54,8
HBC,81.0,0.0,0.0,0.0,0.0,8
HBSch,81.0,16.45,0.12,0.04,12.33,8
All,82.0,2691.27,325.82,41.22,437.61,8
HBW,82.0,436.68,44.14,11.32,55.46,8
HBO,82.0,1308.51,220.77,24.45,245.22,8
NHB,82.0,847.81,60.19,5.24,65.43,8
HBC,82.0,0.0,0.0,0.0,0.0,8
HBSch,82.0,98.28,0.71,0.22,71.5,8
All,83.0,762.63,58.0,4.71,62.71,8
HBW,83.0,0.0,0.0,0.0,0.0,8
HBO,83.0,0.0,0.0,0.0,0.0,8
NHB,83.0,762.63,58.0,4.71,62.71,8
HBC,83.0,0.0,0.0,0.0,0.0,8
HBSch,83.0,0.0,0.0,0.0,0.0,8
All,84.0,449.71,38.39,2.78,41.17,8
HBW,84.0,0.0,0.0,0.0,0.0,8
HBO,84.0,0.0,0.0,0.0,0.0,8
NHB,84.0,449.71,38.39,2.78,41.17,8
HBC,84.0,0.0,0.0,0.0,0.0,8
HBSch,84.0,0.0,0.0,0.0,0.0,8
All,85.0,437.1,40.89,5.36,64.13,8
HBW,85.0,66.42,3.33,1.1,4.43,8
HBO,85.0,262.69,33.23,3.78,37.02,8
NHB,85.0,68.55,4.15,0.43,4.58,8
HBC,85.0,0.0,0.0,0.0,0.0,8
HBSch,85.0,39.44,0.18,0.05,18.11,8
All,86.0,90.0,1.2,0.47,1.68,8
HBW,86.0,0.0,0.0,0.0,0.0,8
HBO,86.0,0.0,0.0,0.0,0.0,8
NHB,86.0,90.0,1.2,0.47,1.68,8
HBC,86.0,0.0,0.0,0.0,0.0,8
HBSch,86.0,0.0,0.0,0.0,0.0,8
All,87.0,0.0,0.0,0.0,0.0,8
HBW,87.0,0.0,0.0,0.0,0.0,8
HBO,87.0,0.0,0.0,0.0,0.0,8
NHB,87.0,0.0,0.0,0.0,0.0,8
HBC,87.0,0.0,0.0,0.0,0.0,8
HBSch,87.0,0.0,0.0,0.0,0.0,8
All,88.0,1.61,0.07,0.01,0.08,8
HBW,88.0,0.0,0.0,0.0,0.0,8
HBO,88.0,0.0,0.0,0.0,0.0,8
NHB,88.0,1.61,0.07,0.01,0.08,8
HBC,88.0,0.0,0.0,0.0,0.0,8
HBSch,88.0,0.0,0.0,0.0,0.0,8
All,89.0,1475.78,100.86,10.06,117.67,8
HBW,89.0,45.35,2.52,0.66,3.18,8
HBO,89.0,154.47,14.68,2.08,16.76,8
NHB,89.0,1259.72,83.59,7.3,90.89,8
HBC,89.0,0.0,0.0,0.0,0.0,8
HBSch,89.0,16.24,0.07,0.02,6.84,8
All,90.0,2689.07,222.7,19.87,269.78,8
HBW,90.0,83.92,7.3,1.48,8.78,8
HBO,90.0,333.25,38.76,4.71,43.47,8
