Purpose,TAZID,All,Walk,Bike,NonM
HBC,28.0,0.0,0.0,0.0,0.0
HBSch,28.0,1.02,0.0,0.0,0.3
All,29.0,1211.8,127.55,19.03,222.25
HBW,29.0,219.22,16.5,5.58,22.08
HBO,29.0,744.72,100.26,12.26,112.52
NHB,29.0,152.66,10.03,0.96,10.99
HBC,29.0,14.0,0.0,0.0,0.0
HBSch,29.0,81.2,0.76,0.23,76.66
All,30.0,2542.55,333.62,41.46,506.64
HBW,30.0,438.87,44.36,12.18,56.54
HBO,30.0,1492.97,249.05,26.02,275.07
NHB,30.0,466.84,38.89,2.87,41.75
HBC,30.0,2.0,0.0,0.0,0.0
HBSch,30.0,141.87,1.33,0.4,133.29
All,31.0,1900.43,240.48,26.92,338.3
HBW,31.0,259.19,29.67,7.18,36.84
HBO,31.0,871.93,149.28,15.36,164.64
NHB,31.0,692.68,60.82,4.17,64.99
HBC,31.0,0.0,0.0,0.0,0.0
HBSch,31.0,76.64,0.72,0.21,71.83
All,32.0,993.7,106.59,15.57,181.8
HBW,32.0,162.41,7.33,4.21,11.54
HBO,32.0,635.18,90.38,10.49,100.86
NHB,32.0,114.79,8.28,0.7,8.98
HBC,32.0,0.0,0.0,0.0,0.0
HBSch,32.0,81.33,0.6,0.17,60.41
All,33.0,1412.99,177.21,22.42,312.66
HBW,33.0,216.14,14.78,5.8,20.59
HBO,33.0,924.09,148.32,15.34,163.67
NHB,33.0,151.18,12.96,0.93,13.89
HBC,33.0,0.0,0.0,0.0,0.0
HBSch,33.0,121.57,1.14,0.34,114.52
All,34.0,1544.69,162.03,23.93,261.24
HBW,34.0,274.3,11.79,6.77,18.56
HBO,34.0,952.58,135.09,15.69,150.79
NHB,34.0,204.9,14.39,1.26,15.64
HBC,34.0,0.0,0.0,0.0,0.0
HBSch,34.0,112.91,0.76,0.22,76.26
All,35.0,2205.65,237.79,35.08,390.81
HBW,35.0,402.86,16.72,10.44,27.16
HBO,35.0,1360.46,199.49,22.56,222.05
NHB,35.0,281.4,20.39,1.73,22.11
HBC,35.0,13.01,0.0,0.0,0.0
HBSch,35.0,147.92,1.19,0.35,119.49
All,36.0,506.75,44.52,8.93,64.71
HBW,36.0,104.55,2.52,2.94,5.46
HBO,36.0,294.2,36.91,5.41,42.31
NHB,36.0,87.86,4.99,0.54,5.53
HBC,36.0,0.0,0.0,0.0,0.0
HBSch,36.0,20.13,0.11,0.03,11.41
All,37.0,8.39,0.24,0.08,0.33
HBW,37.0,0.81,0.02,0.02,0.04
HBO,37.0,3.61,0.13,0.04,0.17
NHB,37.0,3.71,0.09,0.03,0.11
HBC,37.0,0.0,0.0,0.0,0.0
HBSch,37.0,0.26,0.0,0.0,0.0
All,38.0,509.85,25.41,3.09,28.7
HBW,38.0,1.8,0.27,0.04,0.31
HBO,38.0,6.29,0.5,0.08,0.58
NHB,38.0,501.04,24.64,2.97,27.61
HBC,38.0,0.0,0.0,0.0,0.0
HBSch,38.0,0.72,0.0,0.0,0.2
All,39.0,635.42,79.79,8.52,113.98
HBW,39.0,81.66,12.25,2.18,14.43
HBO,39.0,282.4,47.04,4.67,51.71
NHB,39.0,241.38,20.25,1.59,21.85
HBC,39.0,0.0,0.0,0.0,0.0
HBSch,39.0,29.98,0.26,0.08,26.0
All,40.0,2690.68,428.98,43.49,565.16
HBW,40.0,424.81,73.29,12.67,85.95
HBO,40.0,1363.3,278.78,25.59,304.37
NHB,40.0,764.19,75.98,4.95,80.93
HBC,40.0,35.01,0.0,0.0,0.0
HBSch,40.0,103.37,0.94,0.28,93.91
All,41.0,2066.82,272.52,22.22,326.89
HBW,41.0,128.41,21.73,4.02,25.75
HBO,41.0,466.34,93.79,8.9,102.68
NHB,41.0,1435.45,156.68,9.21,165.89
HBC,41.0,1.0,0.0,0.0,0.0
HBSch,41.0,35.63,0.32,0.1,32.57
All,42.0,680.84,94.15,10.59,153.41
HBW,42.0,90.34,9.62,2.64,12.25
HBO,42.0,412.97,73.24,7.08,80.32
NHB,42.0,117.5,10.8,0.73,11.53
HBC,42.0,4.0,0.0,0.0,0.0
HBSch,42.0,56.03,0.49,0.15,49.31
All,43.0,1920.75,219.41,28.7,389.11
HBW,43.0,298.54,20.52,7.51,28.03
HBO,43.0,1188.97,177.68,19.1,196.78
NHB,43.0,267.93,19.78,1.66,21.44
HBC,43.0,7.0,0.0,0.0,0.0
HBSch,43.0,158.31,1.42,0.43,142.86
All,44.0,1068.0,97.55,15.8,139.19
HBW,44.0,186.7,5.76,4.33,10.09
HBO,44.0,667.52,84.09,10.6,94.69
NHB,44.0,124.63,7.44,0.78,8.22
HBC,44.0,0.0,0.0,0.0,0.0
HBSch,44.0,89.15,0.26,0.09,26.19
All,45.0,477.84,35.56,6.75,53.6
HBW,45.0,77.95,2.4,1.65,4.05
HBO,45.0,296.56,30.3,4.69,34.98
NHB,45.0,60.75,2.75,0.38,3.13
HBC,45.0,0.0,0.0,0.0,0.0
HBSch,45.0,42.57,0.11,0.04,11.45
All,46.0,0.0,0.0,0.0,0.0
HBW,46.0,0.0,0.0,0.0,0.0
HBO,46.0,0.0,0.0,0.0,0.0
NHB,46.0,0.0,0.0,0.0,0.0
HBC,46.0,0.0,0.0,0.0,0.0
HBSch,46.0,0.0,0.0,0.0,0.0
All,47.0,0.0,0.0,0.0,0.0
HBW,47.0,0.0,0.0,0.0,0.0
HBO,47.0,0.0,0.0,0.0,0.0
NHB,47.0,0.0,0.0,0.0,0.0
HBC,47.0,0.0,0.0,0.0,0.0
HBSch,47.0,0.0,0.0,0.0,0.0
All,48.0,42.29,0.57,0.3,0.87
HBW,48.0,6.07,0.0,0.05,0.05
HBO,48.0,27.78,0.56,0.24,0.8
NHB,48.0,3.32,0.01,0.01,0.02
HBC,48.0,0.0,0.0,0.0,0.0
HBSch,48.0,5.13,0.0,0.0,0.0
All,49.0,598.53,19.46,3.51,22.97
HBW,49.0,0.0,0.0,0.0,0.0
HBO,49.0,0.0,0.0,0.0,0.0
NHB,49.0,598.53,19.46,3.51,22.97
HBC,49.0,0.0,0.0,0.0,0.0
HBSch,49.0,0.0,0.0,0.0,0.0
All,50.0,205.77,10.35,1.48,12.52
HBW,50.0,4.6,0.42,0.09,0.51
HBO,50.0,17.11,1.75,0.24,1.99
NHB,50.0,181.91,8.17,1.15,9.31
HBC,50.0,0.0,0.0,0.0,0.0
HBSch,50.0,2.16,0.01,0.0,0.7
All,51.0,100.27,10.67,1.11,17.15
HBW,51.0,8.29,0.94,0.17,1.1
HBO,51.0,44.27,6.81,0.66,7.46
NHB,51.0,40.83,2.88,0.26,3.14
HBC,51.0,0.0,0.0,0.0,0.0
HBSch,51.0,6.88,0.05,0.02,5.45
All,52.0,1519.77,163.63,12.47,185.71
HBW,52.0,53.2,13.39,1.37,14.77
HBO,52.0,187.04,37.86,3.31,41.17
NHB,52.0,1264.02,112.28,7.76,120.04
HBC,52.0,0.0,0.0,0.0,0.0
HBSch,52.0,15.5,0.1,0.03,9.73
All,53.0,4370.43,637.25,45.66,774.41
HBW,53.0,277.11,67.67,7.88,75.55
HBO,53.0,1028.93,231.76,18.42,250.18
NHB,53.0,2963.88,336.89,19.08,355.97
HBC,53.0,0.0,0.0,0.0,0.0
HBSch,53.0,100.51,0.92,0.28,92.71
All,54.0,1969.82,288.96,25.43,365.9
HBW,54.0,202.35,39.9,6.02,45.92
HBO,54.0,693.92,143.0,12.69,155.68
NHB,54.0,1017.51,105.55,6.57,112.11
HBC,54.0,0.0,0.0,0.0,0.0
HBSch,54.0,56.04,0.52,0.15,52.19
All,55.0,1403.19,186.65,21.35,247.73
HBW,55.0,201.62,26.08,5.72,31.8
HBO,55.0,735.03,127.87,13.09,140.96
NHB,55.0,388.35,32.3,2.41,34.71
HBC,55.0,1.0,0.0,0.0,0.0
HBSch,55.0,77.19,0.4,0.13,40.26
All,56.0,224.82,24.29,3.42,32.76
HBW,56.0,43.4,2.8,1.03,3.83
HBO,56.0,136.47,19.2,2.17,21.37
NHB,56.0,31.23,2.24,0.2,2.44
HBC,56.0,0.0,0.0,0.0,0.0
HBSch,56.0,13.72,0.05,0.02,5.12
All,57.0,449.87,51.47,7.54,71.44
HBW,57.0,92.02,5.8,2.56,8.36
HBO,57.0,262.92,39.95,4.47,44.42
NHB,57.0,75.1,5.6,0.48,6.07
HBC,57.0,0.0,0.0,0.0,0.0
HBSch,57.0,19.83,0.13,0.04,12.59
All,58.0,0.0,0.0,0.0,0.0
HBW,58.0,0.0,0.0,0.0,0.0
HBO,58.0,0.0,0.0,0.0,0.0
NHB,58.0,0.0,0.0,0.0,0.0
HBC,58.0,0.0,0.0,0.0,0.0
HBSch,58.0,0.0,0.0,0.0,0.0
All,59.0,0.0,0.0,0.0,0.0
HBW,59.0,0.0,0.0,0.0,0.0
HBO,59.0,0.0,0.0,0.0,0.0
NHB,59.0,0.0,0.0,0.0,0.0
HBC,59.0,0.0,0.0,0.0,0.0
HBSch,59.0,0.0,0.0,0.0,0.0
All,60.0,0.0,0.0,0.0,0.0
HBW,60.0,0.0,0.0,0.0,0.0
HBO,60.0,0.0,0.0,0.0,0.0
NHB,60.0,0.0,0.0,0.0,0.0
HBC,60.0,0.0,0.0,0.0,0.0
HBSch,60.0,0.0,0.0,0.0,0.0
All,61.0,1636.79,196.9,27.19,322.26
HBW,61.0,287.08,23.39,7.99,31.38
HBO,61.0,1025.9,159.24,17.53,176.76
NHB,61.0,211.52,13.28,1.37,14.65
HBC,61.0,0.0,0.0,0.0,0.0
HBSch,61.0,112.29,0.99,0.3,99.47
All,62.0,1876.34,253.27,28.59,413.64
HBW,62.0,293.81,29.48,7.67,37.16
HBO,62.0,1184.68,205.42,19.12,224.53
NHB,62.0,220.03,17.04,1.4,18.45
HBC,62.0,25.0,0.0,0.0,0.0
HBSch,62.0,152.82,1.33,0.4,133.51
All,63.0,406.17,47.8,4.27,66.59
HBW,63.0,28.56,4.6,0.71,5.31
HBO,63.0,126.96,23.2,1.98,25.17
NHB,63.0,232.16,19.85,1.54,21.39
HBC,63.0,0.0,0.0,0.0,0.0
HBSch,63.0,18.48,0.15,0.04,14.71
All,64.0,2426.07,305.93,32.82,458.36
HBW,64.0,309.91,33.72,8.18,41.91
HBO,64.0,1190.59,205.81,19.43,225.24
NHB,64.0,780.12,65.19,4.84,70.03
HBC,64.0,0.0,0.0,0.0,0.0
HBSch,64.0,145.44,1.21,0.36,121.18
All,65.0,2451.72,365.35,38.4,529.18
HBW,65.0,388.86,55.21,10.87,66.07
HBO,65.0,1353.86,255.87,23.49,279.36
NHB,65.0,556.9,53.0,3.67,56.67
HBC,65.0,0.0,0.0,0.0,0.0
HBSch,65.0,152.1,1.27,0.38,127.08
All,66.0,1442.77,176.56,20.34,226.89
HBW,66.0,179.91,21.26,5.62,26.88
HBO,66.0,550.01,100.62,10.46,111.08
NHB,66.0,673.32,54.38,4.17,58.55
HBC,66.0,1.0,0.0,0.0,0.0
HBSch,66.0,38.54,0.3,0.09,30.38
All,67.0,1600.85,213.65,22.42,288.95
HBW,67.0,187.57,25.86,5.61,31.47
HBO,67.0,675.5,124.69,12.28,136.97
NHB,67.0,669.11,62.56,4.37,66.93
HBC,67.0,0.0,0.0,0.0,0.0
HBSch,67.0,68.67,0.53,0.16,53.58
All,68.0,1213.05,153.49,21.1,222.64
HBW,68.0,219.9,18.33,6.59,24.92
HBO,68.0,712.8,118.54,12.96,131.49
NHB,68.0,222.08,16.14,1.4,17.54
HBC,68.0,0.0,0.0,0.0,0.0
HBSch,68.0,58.27,0.49,0.15,48.69
All,69.0,294.65,35.92,4.24,56.81
HBW,69.0,38.52,3.33,1.01,4.34
HBO,69.0,185.53,29.08,2.91,31.99
NHB,69.0,41.9,3.35,0.27,3.62
HBC,69.0,0.0,0.0,0.0,0.0
HBSch,69.0,28.69,0.17,0.05,16.86
All,70.0,992.32,100.68,15.74,193.44
HBW,70.0,140.95,7.89,3.79,11.68
HBO,70.0,649.58,86.07,11.04,97.11
NHB,70.0,105.22,5.95,0.67,6.62
HBC,70.0,0.0,0.0,0.0,0.0
HBSch,70.0,96.57,0.78,0.23,78.02
All,71.0,0.0,0.0,0.0,0.0
HBW,71.0,0.0,0.0,0.0,0.0
HBO,71.0,0.0,0.0,0.0,0.0
NHB,71.0,0.0,0.0,0.0,0.0
HBC,71.0,0.0,0.0,0.0,0.0
HBSch,71.0,0.0,0.0,0.0,0.0
All,72.0,940.99,97.54,14.26,153.52
HBW,72.0,123.7,9.52,3.34,12.86
HBO,72.0,578.02,78.84,9.86,88.7
NHB,72.0,147.53,8.75,0.93,9.68
HBC,72.0,0.0,0.0,0.0,0.0
HBSch,72.0,91.74,0.42,0.14,42.29
All,73.0,37.3,1.9,0.49,4.84
HBW,73.0,6.2,0.08,0.11,0.19
HBO,73.0,24.03,1.7,0.35,2.05
NHB,73.0,3.97,0.09,0.03,0.12
HBC,73.0,0.0,0.0,0.0,0.0
HBSch,73.0,3.1,0.02,0.01,2.49
All,74.0,0.0,0.0,0.0,0.0
HBW,74.0,0.0,0.0,0.0,0.0
HBO,74.0,0.0,0.0,0.0,0.0
NHB,74.0,0.0,0.0,0.0,0.0
HBC,74.0,0.0,0.0,0.0,0.0
HBSch,74.0,0.0,0.0,0.0,0.0
All,75.0,1242.43,132.33,16.54,148.87
HBW,75.0,169.48,13.99,4.31,18.3
HBO,75.0,590.76,91.93,9.73,101.66
NHB,75.0,400.31,26.41,2.5,28.91
HBC,75.0,8.0,0.0,0.0,0.0
HBSch,75.0,73.88,0.0,0.0,0.0
All,76.0,641.57,65.99,10.5,114.94
HBW,76.0,106.16,6.58,2.88,9.46
HBO,76.0,402.61,54.39,6.94,61.33
NHB,76.0,85.43,4.63,0.56,5.19
HBC,76.0,0.0,0.0,0.0,0.0
HBSch,76.0,47.37,0.39,0.11,38.95
All,77.0,1605.88,190.68,19.21,253.2
HBW,77.0,172.52,26.09,4.65,30.74
HBO,77.0,565.15,101.52,9.34,110.86
NHB,77.0,819.28,62.63,5.09,67.72
HBC,77.0,0.0,0.0,0.0,0.0
HBSch,77.0,48.93,0.44,0.13,43.88
All,78.0,4192.84,557.63,61.03,812.44
HBW,78.0,611.73,61.25,15.99,77.24
HBO,78.0,2272.37,409.92,38.01,447.93
NHB,78.0,1039.08,84.5,6.43,90.94
HBC,78.0,21.0,0.0,0.0,0.0
HBSch,78.0,248.65,1.96,0.59,196.33
All,79.0,1604.23,166.55,13.9,194.0
HBW,79.0,68.88,9.4,1.89,11.29
HBO,79.0,237.46,45.24,4.09,49.34
NHB,79.0,1280.62,111.78,7.88,119.65
HBC,79.0,0.0,0.0,0.0,0.0
HBSch,79.0,17.27,0.14,0.04,13.72
All,80.0,1707.97,190.75,20.14,238.48
HBW,80.0,160.92,19.97,4.74,24.71
HBO,80.0,492.5,90.97,9.12,100.09
NHB,80.0,1016.19,79.53,6.21,85.73
HBC,80.0,8.0,0.0,0.0,0.0
HBSch,80.0,30.36,0.28,0.08,27.95
All,81.0,543.29,42.97,8.77,64.0
HBW,81.0,75.66,6.11,2.45,8.56
HBO,81.0,234.2,29.08,4.95,34.03
NHB,81.0,216.99,7.65,1.34,8.99
HBC,81.0,0.0,0.0,0.0,0.0
HBSch,81.0,16.44,0.12,0.04,12.42
All,82.0,3235.52,373.55,46.25,490.84
HBW,82.0,437.23,50.51,12.85,63.37
HBO,82.0,1307.1,224.54,24.65,249.19
NHB,82.0,1392.95,97.78,8.53,106.31
HBC,82.0,0.0,0.0,0.0,0.0
HBSch,82.0,98.24,0.72,0.22,71.98
All,83.0,1252.78,94.39,7.66,102.06
HBW,83.0,0.0,0.0,0.0,0.0
HBO,83.0,0.0,0.0,0.0,0.0
NHB,83.0,1252.78,94.39,7.66,102.06
HBC,83.0,0.0,0.0,0.0,0.0
HBSch,83.0,0.0,0.0,0.0,0.0
All,84.0,737.5,62.38,4.52,66.9
HBW,84.0,0.0,0.0,0.0,0.0
HBO,84.0,0.0,0.0,0.0,0.0
NHB,84.0,737.5,62.38,4.52,66.9
HBC,84.0,0.0,0.0,0.0,0.0
HBSch,84.0,0.0,0.0,0.0,0.0
All,85.0,483.21,44.68,5.89,68.52
HBW,85.0,66.47,3.89,1.31,5.2
HBO,85.0,263.19,33.82,3.83,37.66
NHB,85.0,114.12,6.78,0.7,7.48
HBC,85.0,0.0,0.0,0.0,0.0
HBSch,85.0,39.43,0.18,0.05,18.18
All,86.0,148.06,1.99,0.76,2.75
HBW,86.0,0.0,0.0,0.0,0.0
HBO,86.0,0.0,0.0,0.0,0.0
NHB,86.0,148.06,1.99,0.76,2.75
HBC,86.0,0.0,0.0,0.0,0.0
HBSch,86.0,0.0,0.0,0.0,0.0
All,87.0,0.0,0.0,0.0,0.0
HBW,87.0,0.0,0.0,0.0,0.0
HBO,87.0,0.0,0.0,0.0,0.0
NHB,87.0,0.0,0.0,0.0,0.0
HBC,87.0,0.0,0.0,0.0,0.0
HBSch,87.0,0.0,0.0,0.0,0.0
All,88.0,2.78,0.12,0.02,0.14
HBW,88.0,0.0,0.0,0.0,0.0
HBO,88.0,0.0,0.0,0.0,0.0
NHB,88.0,2.78,0.12,0.02,0.14
HBC,88.0,0.0,0.0,0.0,0.0
HBSch,88.0,0.0,0.0,0.0,0.0
All,89.0,2286.64,154.91,14.84,176.57
HBW,89.0,45.3,2.77,0.81,3.58
HBO,89.0,154.73,14.99,2.14,17.13
NHB,89.0,2070.37,137.07,11.87,148.95
HBC,89.0,0.0,0.0,0.0,0.0
HBSch,89.0,16.24,0.07,0.02,6.91
All,90.0,4101.29,333.79,28.64,389.51
HBW,90.0,84.23,7.89,1.68,9.56
HBO,90.0,333.78,39.34,4.79,44.14
NHB,90.0,3633.58,286.29,22.09,308.37
HBC,90.0,0.0,0.0,0.0,0.0
HBSch,90.0,49.7,0.27,0.08,27.44
All,91.0,1774.35,147.79,22.85,226.2
HBW,91.0,313.89,14.7,5.63,20.32
HBO,91.0,1045.07,119.86,15.58,135.44
NHB,91.0,256.8,12.66,1.49,14.15
HBC,91.0,24.0,0.0,0.0,0.0
HBSch,91.0,134.58,0.56,0.15,56.28
All,92.0,1884.8,164.01,24.84,221.7
HBW,92.0,308.83,15.4,6.01,21.41
HBO,92.0,1151.57,135.23,17.29,152.51
NHB,92.0,237.65,13.06,1.45,14.51
HBC,92.0,3.0,0.0,0.0,0.0
HBSch,92.0,183.75,0.33,0.09,33.27
All,93.0,0.0,0.0,0.0,0.0
HBW,93.0,0.0,0.0,0.0,0.0
HBO,93.0,0.0,0.0,0.0,0.0
NHB,93.0,0.0,0.0,0.0,0.0
HBC,93.0,0.0,0.0,0.0,0.0
HBSch,93.0,0.0,0.0,0.0,0.0
All,94.0,194.26,8.36,2.34,10.7
HBW,94.0,32.47,0.3,0.47,0.77
HBO,94.0,120.92,7.34,1.74,9.08
NHB,94.0,22.47,0.72,0.13,0.85
HBC,94.0,0.0,0.0,0.0,0.0
HBSch,94.0,18.4,0.0,0.0,0.0
All,95.0,2942.67,225.45,34.47,375.39
HBW,95.0,414.47,14.56,6.6,21.16
HBO,95.0,1648.53,177.36,24.17,201.52
NHB,95.0,617.26,32.36,3.39,35.76
HBC,95.0,7.0,0.0,0.0,0.0
HBSch,95.0,255.41,1.17,0.31,116.95
All,96.0,1861.78,155.62,25.38,220.36
HBW,96.0,394.11,10.59,6.82,17.41
HBO,96.0,1068.75,128.31,16.68,145.0
NHB,96.0,308.45,16.32,1.77,18.09
HBC,96.0,0.0,0.0,0.0,0.0
HBSch,96.0,90.47,0.4,0.11,39.87
All,97.0,0.0,0.0,0.0,0.0
HBW,97.0,0.0,0.0,0.0,0.0
HBO,97.0,0.0,0.0,0.0,0.0
NHB,97.0,0.0,0.0,0.0,0.0
HBC,97.0,0.0,0.0,0.0,0.0
HBSch,97.0,0.0,0.0,0.0,0.0
