"TAZID","CityIdx","CITY_UGRC"
2634,34,"LEH"
2635,34,"LEH"
2636,34,"LEH"
2637,34,"LEH"
2638,34,"LEH"
2639,34,"LEH"
2640,34,"LEH"
2641,34,"LEH"
2642,34,"LEH"
2643,34,"LEH"
2644,34,"LEH"
2645,34,"LEH"
2646,34,"LEH"
2647,34,"LEH"
2648,34,"LEH"
2649,34,"LEH"
2650,34,"LEH"
2651,34,"LEH"
2652,34,"LEH"
2653,34,"LEH"
2654,34,"LEH"
2655,34,"LEH"
2656,34,"LEH"
2657,2,"AFK"
2658,2,"AFK"
2659,2,"AFK"
2660,2,"AFK"
2661,34,"LEH"
2662,2,"AFK"
2663,2,"AFK"
2664,2,"AFK"
2665,2,"AFK"
2666,2,"AFK"
2667,2,"AFK"
2668,2,"AFK"
2669,2,"AFK"
2670,2,"AFK"
2671,2,"AFK"
2672,34,"LEH"
2673,34,"LEH"
2674,2,"AFK"
2675,2,"AFK"
2676,2,"AFK"
2677,2,"AFK"
2678,34,"LEH"
2679,34,"LEH"
2680,34,"LEH"
2681,2,"AFK"
2682,2,"AFK"
2683,34,"LEH"
2684,34,"LEH"
2685,34,"LEH"
2686,34,"LEH"
2687,28,"HGH"
2688,28,"HGH"
2689,28,"HGH"
2690,28,"HGH"
2691,28,"HGH"
2692,28,"HGH"
2693,11,"CHL"
2694,11,"CHL"
2695,11,"CHL"
2696,11,"CHL"
2697,11,"CHL"
2698,11,"CHL"
2699,28,"HGH"
2700,28,"HGH"
2701,28,"HGH"
2702,28,"HGH"
2703,28,"HGH"
2704,28,"HGH"
2705,11,"CHL"
2706,28,"HGH"
2707,28,"HGH"
2708,28,"HGH"
2709,28,"HGH"
2710,28,"HGH"
2711,28,"HGH"
2712,4,"ALP"
2713,4,"ALP"
2714,4,"ALP"
2715,4,"ALP"
2716,4,"ALP"
2717,4,"ALP"
2718,4,"ALP"
2719,16,"DRA"
2720,28,"HGH"
2721,4,"ALP"
2722,4,"ALP"
2723,4,"ALP"
2724,4,"ALP"
2725,4,"ALP"
2726,2,"AFK"
2727,35,"LIN"
2728,35,"LIN"
2729,2,"AFK"
2730,2,"AFK"
2731,35,"LIN"
2732,35,"LIN"
2733,35,"LIN"
2734,35,"LIN"
2735,35,"LIN"
2736,35,"LIN"
2737,35,"LIN"
2738,35,"LIN"
2739,35,"LIN"
2740,35,"LIN"
2741,49,"PGR"
2742,35,"LIN"
2743,35,"LIN"
2744,35,"LIN"
2745,35,"LIN"
2746,35,"LIN"
2747,35,"LIN"
2748,49,"PGR"
2749,49,"PGR"
2750,49,"PGR"
2751,49,"PGR"
2752,49,"PGR"
2753,49,"PGR"
2754,49,"PGR"
2755,2,"AFK"
2756,2,"AFK"
2757,49,"PGR"
2758,49,"PGR"
2759,49,"PGR"
2760,49,"PGR"
2761,49,"PGR"
2762,49,"PGR"
2763,2,"AFK"
2764,2,"AFK"
2765,49,"PGR"
2766,49,"PGR"
2767,49,"PGR"
2768,49,"PGR"
2769,49,"PGR"
2770,2,"AFK"
2771,49,"PGR"
2772,49,"PGR"
2773,49,"PGR"
2774,49,"PGR"
2775,49,"PGR"
2776,49,"PGR"
2777,49,"PGR"
2778,49,"PGR"
2779,2,"AFK"
2780,49,"PGR"
2781,49,"PGR"
2782,49,"PGR"
2783,2,"AFK"
2784,2,"AFK"
2785,49,"PGR"
2786,49,"PGR"
2787,2,"AFK"
2788,2,"AFK"
2789,49,"PGR"
2790,71,"VIN"
2791,71,"VIN"
2792,71,"VIN"
2793,71,"VIN"
2794,71,"VIN"
2795,46,"ORE"
2796,71,"VIN"
2797,71,"VIN"
2798,71,"VIN"
2799,71,"VIN"
2800,46,"ORE"
2801,71,"VIN"
2802,71,"VIN"
2803,71,"VIN"
2804,71,"VIN"
2805,71,"VIN"
2806,71,"VIN"
2807,46,"ORE"
2808,71,"VIN"
2809,71,"VIN"
2810,71,"VIN"
2811,71,"VIN"
2812,46,"ORE"
2813,71,"VIN"
2814,71,"VIN"
2815,71,"VIN"
2816,71,"VIN"
2817,46,"ORE"
2818,46,"ORE"
2819,71,"VIN"
2820,46,"ORE"
2821,46,"ORE"
2822,46,"ORE"
2823,46,"ORE"
2824,35,"LIN"
2825,46,"ORE"
2826,46,"ORE"
2827,46,"ORE"
2828,46,"ORE"
2829,46,"ORE"
2830,46,"ORE"
2831,46,"ORE"
2832,46,"ORE"
2833,46,"ORE"
2834,46,"ORE"
2835,46,"ORE"
2836,46,"ORE"
2837,46,"ORE"
2838,46,"ORE"
2839,46,"ORE"
2840,46,"ORE"
2841,46,"ORE"
2842,46,"ORE"
2843,46,"ORE"
2844,46,"ORE"
2845,46,"ORE"
2846,46,"ORE"
2847,46,"ORE"
2848,46,"ORE"
2849,46,"ORE"
2850,46,"ORE"
2851,51,"PVO"
2852,51,"PVO"
2853,46,"ORE"
2854,46,"ORE"
2855,46,"ORE"
2856,46,"ORE"
2857,46,"ORE"
2858,46,"ORE"
2859,46,"ORE"
2860,51,"PVO"
2861,51,"PVO"
2862,51,"PVO"
2863,46,"ORE"
2864,46,"ORE"
2865,46,"ORE"
2866,46,"ORE"
2867,46,"ORE"
2868,46,"ORE"
2869,46,"ORE"
2870,51,"PVO"
2871,46,"ORE"
2872,46,"ORE"
2873,46,"ORE"
2874,46,"ORE"
2875,46,"ORE"
2876,46,"ORE"
2877,46,"ORE"
2878,51,"PVO"
2879,51,"PVO"
2880,51,"PVO"
2881,51,"PVO"
2882,51,"PVO"
2883,46,"ORE"
2884,46,"ORE"
2885,46,"ORE"
2886,46,"ORE"
2887,46,"ORE"
2888,46,"ORE"
2889,51,"PVO"
2890,51,"PVO"
2891,51,"PVO"
2892,51,"PVO"
2893,51,"PVO"
2894,51,"PVO"
2895,51,"PVO"
2896,46,"ORE"
2897,46,"ORE"
2898,46,"ORE"
2899,46,"ORE"
2900,46,"ORE"
2901,46,"ORE"
2902,46,"ORE"
2903,46,"ORE"
2904,46,"ORE"
2905,46,"ORE"
2906,46,"ORE"
2907,46,"ORE"
2908,46,"ORE"
2909,46,"ORE"
2910,51,"PVO"
2911,51,"PVO"
2912,46,"ORE"
2913,51,"PVO"
2914,51,"PVO"
2915,51,"PVO"
2916,51,"PVO"
2917,51,"PVO"
2918,51,"PVO"
2919,51,"PVO"
2920,51,"PVO"
2921,51,"PVO"
2922,51,"PVO"
2923,51,"PVO"
2924,51,"PVO"
2925,51,"PVO"
2926,51,"PVO"
2927,51,"PVO"
2928,51,"PVO"
2929,51,"PVO"
2930,46,"ORE"
2931,46,"ORE"
2932,46,"ORE"
2933,46,"ORE"
2934,46,"ORE"
2935,46,"ORE"
2936,46,"ORE"
2937,51,"PVO"
2938,51,"PVO"
2939,51,"PVO"
2940,51,"PVO"
2941,51,"PVO"
2942,51,"PVO"
2943,51,"PVO"
2944,51,"PVO"
2945,51,"PVO"
2946,51,"PVO"
2947,51,"PVO"
2948,51,"PVO"
2949,51,"PVO"
2950,51,"PVO"
2951,51,"PVO"
2952,51,"PVO"
2953,51,"PVO"
2954,51,"PVO"
2955,51,"PVO"
2956,51,"PVO"
2957,51,"PVO"
2958,51,"PVO"
2959,51,"PVO"
2960,51,"PVO"
2961,51,"PVO"
2962,51,"PVO"
2963,51,"PVO"
2964,51,"PVO"
2965,51,"PVO"
2966,51,"PVO"
2967,51,"PVO"
2968,51,"PVO"
2969,51,"PVO"
2970,51,"PVO"
2971,51,"PVO"
2972,51,"PVO"
2973,51,"PVO"
2974,51,"PVO"
2975,51,"PVO"
2976,51,"PVO"
2977,51,"PVO"
2978,51,"PVO"
