SEGID,DIRECTION,DIRECTION_NAME,DY_VOL_GR1,DY_VOL_GR2,DY_VOL_GR3,DY_VOL_GR4,DY_VOL_TOTAL
0015_291.4,D2,SB,     504.7,     240.1,     293.6,     627.8,    1666.2
0015_291.4,Both,Total,     482.2,     168.1,     115.4,     263.6,    1029.3
0015_292.6,D1,NB,     507.4,     169.7,         0,      29.9,     707.0
0015_292.6,D2,SB,     687.8,     265.4,     632.1,     633.4,    2218.8
0015_292.6,Both,Total,     569.6,     202.7,     218.0,     238.0,    1228.3
0015_293.0,D1,NB,     571.2,         0,       2.3,       9.1,     582.5
0015_293.0,D2,SB,     732.1,     416.1,     700.6,     603.5,    2452.3
0015_293.0,Both,Total,     635.6,     166.5,     281.6,     246.9,    1330.5
0015_293.6,D1,NB,     570.7,         0,       2.3,       9.3,     582.3
0015_293.6,D2,SB,     732.0,     416.1,     700.5,     603.4,    2452.0
0015_293.6,Both,Total,     634.7,     165.0,     279.3,     245.0,    1324.0
0015_295.6,D1,NB,    1274.0,         0,     122.8,      36.4,    1433.2
0015_295.6,D2,SB,    1218.3,     407.2,     658.5,     557.4,    2841.4
0015_295.6,Both,Total,    1251.1,     167.8,     343.6,     251.1,    2013.6
0015_297.9,D1,NB,    1535.0,         0,     144.1,      39.3,    1718.4
0015_297.9,D2,SB,    1047.8,     333.5,     495.1,     441.8,    2318.2
0015_297.9,Both,Total,    1294.0,     165.0,     317.7,     238.4,    2015.1
0015_299.0,D1,NB,    1848.9,         0,     170.2,      43.5,    2062.6
0015_299.0,D2,SB,    1209.8,     380.1,     557.1,     501.6,    2648.5
0015_299.0,Both,Total,    1545.2,     180.6,     354.0,     261.2,    2341.0
0015_300.3,D1,NB,    1637.5,         0,     152.5,      37.0,    1827.0
0015_300.3,D2,SB,    1059.1,     344.7,     501.9,     441.8,    2347.5
0015_300.3,Both,Total,    1344.2,     174.8,     329.7,     242.3,    2091.0
0015_301.7,D1,NB,    1414.2,         0,     129.7,      31.6,    1575.5
0015_301.7,D2,SB,     916.8,     287.8,     417.4,     359.8,    1981.8
0015_301.7,Both,Total,    1165.1,     144.1,     273.8,     196.0,    1779.0
0015_302.5,D1,NB,    1412.9,         0,     129.6,      31.5,    1574.0
0015_302.5,D2,SB,     917.1,     287.8,     417.5,     359.9,    1982.3
0015_302.5,Both,Total,    1165.9,     143.3,     273.0,     195.1,    1777.3
0015_303.4,D1,NB,    1099.7,         0,     111.0,      26.0,    1236.6
0015_303.4,D2,SB,     681.5,     225.2,     325.6,     280.7,    1513.1
0015_303.4,Both,Total,     860.5,     128.8,     233.7,     171.7,    1394.8
0015_304.7,D1,NB,     431.8,         0,      43.7,      11.2,     486.7
0015_304.7,D2,SB,     281.9,      85.6,     120.8,     109.2,     597.5
