Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      7.00,Green,ok,     28.64,     93.54,     18.37,     15.00,      4.00,   1145.60,   6796.11,   6796.09,    485.76,   6310.35,    485.76,   6310.33
      7.00,Red,ok,     47.22,    120.72,     23.47,     15.00,      4.00,   1888.80,   9122.45,   9122.45,   1157.18,   7965.27,   1157.14,   7965.31
      7.00,Sline,ok,      4.02,     20.58,     11.72,     15.00,      4.00,    160.80,    450.33,    450.33,      6.72,    443.61,      6.72,    443.61
      8.00,RCRT_OGPN,pk,    162.16,    245.34,     39.66,     30.00,      2.00,   1945.92,   9323.54,   9323.50,   5657.47,   3666.07,   5657.46,   3666.04
      8.00,RCRT_OGPN,ok,    162.16,    245.34,     39.66,     60.00,      1.00,   1621.60,   4833.47,   4833.42,   2282.62,   2550.85,   2282.59,   2550.83
      9.00,630X,pk,      9.86,     40.51,     14.60,     10.00,      6.00,    354.96,   1340.45,   1340.47,    520.46,    819.99,    520.44,    820.03
      9.00,M830X_ARPT,pk,     11.28,     27.28,     24.81,     30.00,      2.00,    135.36,     15.44,     15.44,      2.42,     13.02,      2.41,     13.03
      9.00,UVX,pk,     22.92,     79.21,     17.36,      6.00,     10.00,   1375.20,   7213.32,   7213.39,   1112.75,   6100.57,   1112.76,   6100.63
      9.00,630X,ok,      9.86,     43.11,     13.72,     10.00,      6.00,    591.60,    669.53,    669.59,     30.18,    639.35,     30.20,    639.39
      9.00,M830X_ARPT,ok,     11.28,     29.37,     23.04,     30.00,      2.00,    225.60,     31.23,     31.23,      1.67,     29.56,      1.66,     29.57
      9.00,UVX,ok,     22.92,     83.73,     16.42,     10.00,      6.00,   1375.20,   3395.14,   3395.16,     95.73,   3299.41,     95.75,   3299.41
