SEGID,DISTANCE,DIRECTION,FUNCGROUP,SUBAREAID,CO_FIPS,LANES,LANEMILES,FTCLASS,CAP1HL,AM_Vol,MD_Vol,PM_Vol,EV_Vol,DY_Vol,FF_Spd,AM_Spd,MD_Spd,PM_Spd,EV_Spd,DY_Spd,FF_Tme,AM_Tme,MD_Tme,PM_Tme,EV_Tme,DY_Tme,AM_CAP,MD_CAP,PM_CAP,EV_CAP,DY_CAP,AM_VC,MD_VC,PM_VC,EV_VC,MAX_VC,AM_VMT,MD_VMT,PM_VMT,EV_VMT,DY_VMT,AM_VMT_PC,MD_VMT_PC,PM_VMT_PC,EV_VMT_PC,DY_VMT_PC,AM_VMT_LT,MD_VMT_LT,PM_VMT_LT,EV_VMT_LT,DY_VMT_LT,AM_VMT_MD,MD_VMT_MD,PM_VMT_MD,EV_VMT_MD,DY_VMT_MD,AM_VMT_HV,MD_VMT_HV,PM_VMT_HV,EV_VMT_HV,DY_VMT_HV,FF_VHT,AM_VHT,MD_VHT,PM_VHT,EV_VHT,DY_VHT,AM_VHD,MD_VHD,PM_VHD,EV_VHD,DY_VHD
2128_007.9,     0.152,Both,Total,       1.0,      35.0,       6.0,       0.9,Minor Arterial,       781,    2649.0,    6635.6,    5152.1,    3378.9,   17815.6,      30.0,      29.9,      29.8,      29.5,      30.0,      29.8,     0.304,     0.305,     0.306,     0.309,     0.304,     0.307,     14058,     28116,     14058,     56232,    112464,      0.31,      0.36,      0.44,      0.09,      0.44,     402.7,    1008.6,     783.1,     513.6,    2708.0,     332.2,     856.8,     685.3,     459.6,    2333.9,       6.3,      32.6,      13.2,       7.3,      59.4,      52.9,      88.8,      72.1,      34.7,     248.5,      11.1,      30.4,      12.5,      12.0,      66.0,     90.31,     13.48,     33.89,     26.52,     17.12,     91.01,     0.050,     0.255,     0.419,     0.003,     0.727
2128_008.1,     0.150,Both,Total,       1.0,      35.0,       6.0,       0.9,Minor Arterial,       740,    1920.3,    4587.5,    3267.0,    2972.9,   12747.7,      23.0,      23.0,      23.0,      22.9,      23.0,      23.0,     0.391,     0.392,     0.392,     0.393,     0.391,     0.392,     13320,     26640,     13320,     53280,    106560,      0.26,      0.26,      0.31,      0.08,      0.31,     288.3,     688.8,     490.5,     446.3,    1913.9,     235.6,     577.8,     417.3,     390.6,    1621.3,       5.4,      24.3,       9.4,       4.7,      43.8,      37.2,      65.4,      53.0,      37.0,     192.6,      10.2,      21.3,      10.8,      14.0,      56.3,     83.15,     12.55,     29.98,     21.39,     19.39,     83.31,     0.021,     0.056,     0.072,         0,     0.149
2128_008.2,     0.150,Both,Total,       1.0,      35.0,       6.0,       0.9,Minor Arterial,       740,    1898.4,    5380.1,    4409.6,    3103.7,   14791.8,      23.0,      23.0,      22.9,      22.7,      23.0,      22.9,     0.391,     0.391,     0.392,     0.395,     0.391,     0.393,     13320,     26640,     13320,     53280,    106560,      0.19,      0.24,      0.40,      0.07,      0.40,     284.3,     805.7,     660.4,     464.8,    2215.2,     224.9,     645.6,     551.3,     396.7,    1818.5,       4.9,      29.5,      14.4,       6.2,      55.0,      41.6,      94.5,      76.2,      44.6,     256.9,      12.8,      36.1,      18.4,      17.2,      84.5,     96.39,     12.37,     35.12,     29.06,     20.22,     96.77,     0.004,     0.060,     0.325,         0,     0.389
2130_000.0,     0.786,Both,Total,       1.0,      35.0,       2.0,       1.6,Minor Arterial,       849,    1715.2,    3761.4,    2221.6,    2685.4,   10383.6,      30.0,      29.3,      28.9,      27.8,      30.0,      29.0,     1.573,     1.609,     1.631,     1.696,     1.574,     1.626,      5094,     10188,      5094,     20376,     40752,      0.39,      0.40,      0.50,      0.15,      0.50,    1348.4,    2957.1,    1746.5,    2111.2,    8163.2,    1149.6,    2429.2,    1547.3,    1872.9,    6999.0,      15.1,     110.0,      25.8,      30.6,     181.5,     143.7,     291.1,     143.7,     137.6,     716.1,      40.1,     126.8,      29.7,      70.0,     266.6,    272.18,     45.98,    102.22,     62.77,     70.43,    281.40,     1.023,     3.624,     4.548,     0.047,     9.242
2130_000.8,     0.496,Both,Total,       1.0,      35.0,       2.0,       1.0,Minor Arterial,       849,    2820.8,    5958.7,    3728.5,    4715.9,   17223.9,      30.0,      27.1,      27.4,      24.4,      29.9,      27.3,     0.992,     1.100,     1.086,     1.220,     0.994,     1.092,      5094,     10188,      5094,     20376,     40752,      0.71,      0.64,      0.83,      0.27,      0.83,    1398.7,    2954.6,    1848.7,    2338.3,    8540.3,    1192.4,    2501.6,    1654.5,    2103.0,    7451.5,      16.4,      96.9,      26.9,      31.1,     171.3,     150.0,     262.1,     140.1,     151.4,     703.6,      39.7,      94.1,      27.2,      52.9,     213.9,    284.80,     51.57,    107.85,     75.70,     78.15,    313.27,     5.063,     9.328,    14.143,     0.170,    28.704
2130_001.3,     0.538,Both,Total,       1.0,      35.0,       2.0,       1.1,Minor Arterial,       849,    1457.4,    3218.7,    2290.8,    2431.7,    9398.6,      30.0,      29.7,      29.7,      29.0,      30.0,      29.6,     1.076,     1.088,     1.087,     1.115,     1.076,     1.091,      5094,     10188,      5094,     20376,     40752,      0.40,      0.35,      0.52,      0.13,      0.52,     784.4,    1732.5,    1233.0,    1308.8,    5058.7,     682.5,    1517.8,    1102.4,    1197.6,    4500.3,       8.7,      45.9,      19.2,      16.0,      89.8,      73.1,     133.4,      88.9,      73.3,     368.7,      20.1,      35.3,      22.5,      22.0,      99.9,    168.52,     26.43,     58.29,     42.58,     43.60,    170.90,     0.302,     0.580,     1.507,     0.006,     2.395
2131_000.0,     0.535,Both,Total,       1.0,      35.0,       2.0,       1.1,Collector,       489,     505.0,    1190.3,     952.7,     945.4,    3593.4,      23.0,      22.9,      22.8,      22.2,      23.0,      22.7,     1.396,     1.403,     1.406,     1.443,     1.396,     1.413,      2934,      5868,      2934,     11736,     23472,      0.20,      0.23,      0.43,      0.09,      0.43,     270.1,     636.6,     509.6,     505.6,    1921.9,     215.9,     522.6,     450.2,     447.1,    1635.8,       3.3,      19.1,       7.0,       5.7,      35.1,      40.2,      67.0,      44.4,      38.5,     190.1,      10.8,      27.9,       7.9,      14.3,      60.9,     83.61,     11.80,     27.88,     22.91,     22.00,     84.59,     0.058,     0.191,     0.744,     0.003,     0.996
2135_000.0,     0.975,Both,Total,       1.0,      35.0,       2.0,       1.9,Collector,       696,     286.2,     709.6,     546.6,     522.1,    2064.5,      28.0,      28.0,      28.0,      27.9,      28.0,      28.0,     2.090,     2.092,     2.091,     2.095,     2.090,     2.092,      4176,      8352,      4176,     16704,     33408,      0.11,      0.10,      0.15,      0.04,      0.15,     279.0,     691.7,     532.8,     509.0,    2012.5,     242.6,     577.5,     476.5,     458.3,    1754.9,       2.7,      20.5,       4.2,       5.8,      33.2,      28.6,      56.3,      41.1,      31.1,     157.1,       5.1,      37.6,      11.0,      13.9,      67.6,     71.91,      9.98,     24.73,     19.08,     18.19,     71.98,     0.011,     0.009,     0.048,         0,     0.068
2135_001.0,     0.501,Both,Total,       1.0,      35.0,       2.0,       1.0,Collector,       696,     358.5,     726.1,     518.1,     538.5,    2141.2,      28.0,      28.0,      28.0,      28.0,      28.0,      28.0,     1.074,     1.075,     1.075,     1.076,     1.074,     1.075,      4176,      8352,      4176,     16704,     33408,      0.12,      0.10,      0.16,      0.04,      0.16,     179.6,     363.8,     259.6,     269.8,    1072.8,     148.4,     277.5,     218.3,     227.2,     871.4,       2.0,      18.3,       6.8,       7.0,      34.1,      19.7,      41.1,      25.8,      21.0,     107.6,       9.5,      26.9,       8.8,      14.5,      59.7,     38.31,      6.42,     13.00,      9.28,      9.63,     38.33,     0.010,     0.014,     0.019,     0.006,     0.049
2136_000.0,     0.633,Both,Total,       1.0,      35.0,       2.0,       1.3,Collector,       696,     506.3,     703.5,     691.2,     377.3,    2278.3,      28.0,      27.8,      28.0,      27.8,      28.0,      27.9,     1.355,     1.365,     1.356,     1.363,     1.355,     1.360,      4176,      8352,      4176,     16704,     33408,      0.24,      0.12,      0.24,      0.03,      0.24,     320.2,     445.0,     437.2,     238.6,    1441.0,     270.6,     333.8,     372.0,     198.7,    1175.1,       4.1,      17.8,       3.8,       4.1,      29.8,      32.6,      60.5,      48.0,      24.9,     166.0,      13.0,      32.9,      13.4,      10.9,      70.2,     51.46,     11.52,     15.90,     15.70,      8.52,     51.64,     0.081,     0.016,     0.089,         0,     0.186
