Mode,Name,Period,Distance,Time,Speed,Headway,Frequency,TrainBusMiles,Boardings,Alightings,DriveBoardings,WalkBoardings,DriveAlightings,WalkAlightings
      4.00,O667,ok,      2.75,      9.93,     16.62,     30.00,      2.00,     55.00,      1.60,      1.61,      0.01,      1.59,      0.01,      1.60
      4.00,OF605,ok,     14.18,     52.37,     16.25,     60.00,      1.00,    141.80,     60.53,     60.50,      3.09,     57.44,      3.08,     57.42
      4.00,OF618,ok,     14.04,     45.02,     18.71,     30.00,      2.00,    280.80,     84.78,     84.77,      5.06,     79.72,      5.06,     79.71
      4.00,OF620,ok,     16.66,     48.56,     20.58,     30.00,      2.00,    333.20,     74.86,     74.80,      6.45,     68.41,      6.41,     68.39
      4.00,OF638,ok,     13.40,     37.45,     21.47,     60.00,      1.00,    134.00,     25.08,     25.09,      0.17,     24.91,      0.16,     24.93
      4.00,S002,ok,      8.42,     39.19,     12.89,     15.00,      4.00,    336.80,   1063.33,   1063.33,     53.33,   1010.00,     53.32,   1010.01
      4.00,S004,ok,     23.85,     85.20,     16.80,     30.00,      2.00,    477.00,    704.12,    704.19,     10.57,    693.55,     10.57,    693.62
      4.00,S009,ok,     19.62,     73.38,     16.04,     15.00,      4.00,    784.80,    839.30,    839.32,      5.58,    833.72,      5.60,    833.72
      4.00,S017,ok,     15.42,     61.75,     14.98,     30.00,      2.00,    308.40,    292.71,    292.70,     20.48,    272.23,     20.47,    272.23
      4.00,S021,ok,     15.70,     57.33,     16.43,     15.00,      4.00,    628.00,   1045.14,   1045.13,     73.61,    971.53,     73.63,    971.50
      4.00,S033,ok,     12.54,     39.88,     18.87,     15.00,      4.00,    501.60,    413.75,    413.76,     17.90,    395.85,     17.92,    395.84
      4.00,S035,ok,     28.18,     93.59,     18.07,     15.00,      4.00,   1127.20,    522.16,    522.20,     26.48,    495.68,     26.49,    495.71
      4.00,S039,ok,     22.92,     79.53,     17.29,     15.00,      4.00,    916.80,    658.43,    658.37,     19.07,    639.36,     19.06,    639.31
      4.00,S045,ok,     16.22,     53.68,     18.13,     15.00,      4.00,    648.80,    315.08,    315.05,     18.13,    296.95,     18.13,    296.92
      4.00,S047,ok,     25.68,     85.13,     18.10,     30.00,      2.00,    513.60,    180.94,    180.93,      1.94,    179.00,      1.90,    179.03
      4.00,S054,ok,     17.78,     57.20,     18.65,     15.00,      4.00,    711.20,    281.85,    281.76,     15.56,    266.29,     15.50,    266.26
      4.00,S062,ok,     20.26,     64.19,     18.94,     60.00,      1.00,    202.60,     54.11,     54.16,      1.59,     52.52,      1.61,     52.55
      4.00,S072,ok,     11.06,     42.16,     15.74,     30.00,      2.00,    221.20,    164.86,    164.89,      8.04,    156.82,      8.07,    156.82
      4.00,S1,ok,     21.44,     89.10,     14.44,     15.00,      4.00,    857.60,   1506.39,   1506.31,      3.84,   1502.55,      3.78,   1502.53
      4.00,S200,ok,     22.56,     93.54,     14.47,     15.00,      4.00,    902.40,   1724.66,   1724.67,     19.03,   1705.63,     19.06,   1705.61
      4.00,S201,ok,     19.42,     70.92,     16.43,     60.00,      1.00,    194.20,     55.26,     55.30,      4.89,     50.37,      4.92,     50.38
      4.00,S205,ok,     28.62,    108.68,     15.80,     15.00,      4.00,   1144.80,   2169.63,   2169.52,     16.01,   2153.62,     15.93,   2153.59
      4.00,S209,ok,     28.98,    105.13,     16.54,     15.00,      4.00,   1159.20,   2025.37,   2025.25,     35.46,   1989.91,     35.39,   1989.86
      4.00,S213,ok,     31.02,    114.95,     16.19,     30.00,      2.00,    620.40,    546.26,    546.20,      5.91,    540.35,      5.89,    540.31
      4.00,S217,ok,     24.42,     81.41,     18.00,     15.00,      4.00,    976.80,    504.35,    504.29,     21.83,    482.52,     21.79,    482.50
      4.00,S218,ok,     13.84,     51.58,     16.10,     30.00,      2.00,    276.80,     85.86,     85.89,      5.59,     80.27,      5.60,     80.29
      4.00,S220,ok,     33.42,    118.02,     16.99,     30.00,      2.00,    668.40,    847.50,    847.54,     59.77,    787.73,     59.84,    787.70
      4.00,S223,ok,     33.17,    117.68,     16.91,     30.00,      2.00,    663.40,    660.69,    660.63,     24.36,    636.33,     24.33,    636.30
      4.00,S227,ok,     33.90,    119.34,     17.04,     30.00,      2.00,    678.00,    208.66,    208.59,      8.65,    200.01,      8.61,    199.98
      4.00,S236,ok,     15.93,     45.15,     21.17,     30.00,      2.00,    318.60,     71.76,     71.76,      6.00,     65.76,      5.98,     65.78
      4.00,S240,ok,     24.30,     85.81,     16.99,     15.00,      4.00,    972.00,    241.28,    241.28,      8.73,    232.55,      8.72,    232.56
      4.00,S248,ok,     45.08,    154.94,     17.46,     30.00,      2.00,    901.60,    250.07,    250.03,     11.64,    238.43,     11.62,    238.41
      4.00,S31,ok,     26.50,     98.53,     16.14,     30.00,      2.00,    530.00,    246.15,    246.11,      7.29,    238.86,      7.24,    238.87
      4.00,S455,ok,     46.84,    158.47,     17.73,     30.00,      2.00,    936.80,    883.80,    883.81,     68.20,    815.60,     68.17,    815.64
      4.00,S470,ok,     39.74,    134.55,     17.72,     30.00,      2.00,    794.80,    730.25,    730.15,     31.03,    699.22,     31.06,    699.09
      4.00,S509,ok,     10.34,     39.31,     15.78,     30.00,      2.00,    206.80,    152.88,    152.93,      8.73,    144.15,      8.71,    144.22
      4.00,SF11,ok,      7.80,     28.63,     16.35,     60.00,      1.00,     78.00,     41.31,     41.31,         0,     41.31,         0,     41.31
      4.00,SF202,ok,     10.44,     39.22,     15.97,     30.00,      2.00,    208.80,     59.07,     59.12,      1.63,     57.44,      1.63,     57.49
